BaseCase,RA,RASDG,Year,indicator
87.02,87.02,87.02,2020,Access_to_Safely_Managed_Sanita
88.17,88.17,88.17,2021,Access_to_Safely_Managed_Sanita
88.28,88.28,88.28,2022,Access_to_Safely_Managed_Sanita
88.43,88.43,88.43,2023,Access_to_Safely_Managed_Sanita
88.78,88.78,88.78,2024,Access_to_Safely_Managed_Sanita
89.14,89.14,89.57,2025,Access_to_Safely_Managed_Sanita
89.49,89.49,90.0,2026,Access_to_Safely_Managed_Sanita
89.84,89.84,90.47,2027,Access_to_Safely_Managed_Sanita
90.11,90.1,90.97,2028,Access_to_Safely_Managed_Sanita
90.38,90.37,91.48,2029,Access_to_Safely_Managed_Sanita
90.65,90.65,91.98,2030,Access_to_Safely_Managed_Sanita
90.92,90.92,92.47,2031,Access_to_Safely_Managed_Sanita
91.19,91.19,92.96,2032,Access_to_Safely_Managed_Sanita
91.46,91.46,93.42,2033,Access_to_Safely_Managed_Sanita
91.71,91.72,93.85,2034,Access_to_Safely_Managed_Sanita
91.96,91.97,94.26,2035,Access_to_Safely_Managed_Sanita
92.2,92.21,94.63,2036,Access_to_Safely_Managed_Sanita
92.43,92.44,94.98,2037,Access_to_Safely_Managed_Sanita
92.65,92.68,95.3,2038,Access_to_Safely_Managed_Sanita
92.88,92.9,95.57,2039,Access_to_Safely_Managed_Sanita
93.1,93.12,95.82,2040,Access_to_Safely_Managed_Sanita
93.3,93.34,96.04,2041,Access_to_Safely_Managed_Sanita
93.51,93.55,96.24,2042,Access_to_Safely_Managed_Sanita
93.71,93.76,96.43,2043,Access_to_Safely_Managed_Sanita
93.91,93.96,96.61,2044,Access_to_Safely_Managed_Sanita
94.11,94.16,96.77,2045,Access_to_Safely_Managed_Sanita
94.3,94.36,96.93,2046,Access_to_Safely_Managed_Sanita
94.5,94.56,97.08,2047,Access_to_Safely_Managed_Sanita
94.68,94.75,97.22,2048,Access_to_Safely_Managed_Sanita
94.87,94.94,97.35,2049,Access_to_Safely_Managed_Sanita
95.05,95.13,97.48,2050,Access_to_Safely_Managed_Sanita
95.23,95.32,97.61,2051,Access_to_Safely_Managed_Sanita
95.41,95.5,97.75,2052,Access_to_Safely_Managed_Sanita
95.6,95.69,97.87,2053,Access_to_Safely_Managed_Sanita
95.78,95.87,98.01,2054,Access_to_Safely_Managed_Sanita
95.97,96.06,98.12,2055,Access_to_Safely_Managed_Sanita
96.15,96.24,98.26,2056,Access_to_Safely_Managed_Sanita
96.34,96.43,98.37,2057,Access_to_Safely_Managed_Sanita
96.53,96.63,98.5,2058,Access_to_Safely_Managed_Sanita
96.72,96.84,98.6,2059,Access_to_Safely_Managed_Sanita
96.93,97.04,98.73,2060,Access_to_Safely_Managed_Sanita
94.12,94.12,94.12,2020,Access_to_Safely_Managed_Water
94.57,94.57,94.57,2021,Access_to_Safely_Managed_Water
94.52,94.52,94.52,2022,Access_to_Safely_Managed_Water
94.62,94.62,94.62,2023,Access_to_Safely_Managed_Water
94.78,94.78,94.78,2024,Access_to_Safely_Managed_Water
94.92,94.92,95.11,2025,Access_to_Safely_Managed_Water
95.11,95.11,95.36,2026,Access_to_Safely_Managed_Water
95.29,95.29,95.59,2027,Access_to_Safely_Managed_Water
95.43,95.43,95.83,2028,Access_to_Safely_Managed_Water
95.56,95.56,96.08,2029,Access_to_Safely_Managed_Water
95.69,95.69,96.32,2030,Access_to_Safely_Managed_Water
95.82,95.82,96.55,2031,Access_to_Safely_Managed_Water
95.95,95.95,96.78,2032,Access_to_Safely_Managed_Water
96.09,96.08,97.0,2033,Access_to_Safely_Managed_Water
96.22,96.21,97.21,2034,Access_to_Safely_Managed_Water
96.35,96.35,97.4,2035,Access_to_Safely_Managed_Water
96.48,96.47,97.58,2036,Access_to_Safely_Managed_Water
96.6,96.59,97.74,2037,Access_to_Safely_Managed_Water
96.72,96.71,97.9,2038,Access_to_Safely_Managed_Water
96.83,96.83,98.03,2039,Access_to_Safely_Managed_Water
96.95,96.95,98.15,2040,Access_to_Safely_Managed_Water
97.06,97.06,98.26,2041,Access_to_Safely_Managed_Water
97.17,97.18,98.36,2042,Access_to_Safely_Managed_Water
97.27,97.3,98.46,2043,Access_to_Safely_Managed_Water
97.4,97.41,98.55,2044,Access_to_Safely_Managed_Water
97.51,97.52,98.63,2045,Access_to_Safely_Managed_Water
97.61,97.63,98.71,2046,Access_to_Safely_Managed_Water
97.72,97.74,98.78,2047,Access_to_Safely_Managed_Water
97.82,97.84,98.85,2048,Access_to_Safely_Managed_Water
97.93,97.95,98.92,2049,Access_to_Safely_Managed_Water
98.03,98.06,98.98,2050,Access_to_Safely_Managed_Water
98.14,98.16,99.04,2051,Access_to_Safely_Managed_Water
98.24,98.27,99.11,2052,Access_to_Safely_Managed_Water
98.35,98.37,99.17,2053,Access_to_Safely_Managed_Water
98.45,98.47,99.23,2054,Access_to_Safely_Managed_Water
98.55,98.57,99.29,2055,Access_to_Safely_Managed_Water
98.66,98.68,99.35,2056,Access_to_Safely_Managed_Water
98.76,98.78,99.4,2057,Access_to_Safely_Managed_Water
98.87,98.89,99.46,2058,Access_to_Safely_Managed_Water
98.97,99.0,99.51,2059,Access_to_Safely_Managed_Water
99.08,99.1,99.57,2060,Access_to_Safely_Managed_Water
2828.0,2828.0,2828.0,2020,Agricultural_Production
2874.0,2874.0,2874.0,2021,Agricultural_Production
2899.0,2899.0,2899.0,2022,Agricultural_Production
2916.0,2916.0,2916.0,2023,Agricultural_Production
2937.0,2937.0,2937.0,2024,Agricultural_Production
2961.0,2961.0,2992.0,2025,Agricultural_Production
2982.0,2982.0,3025.0,2026,Agricultural_Production
2997.0,2997.0,3046.0,2027,Agricultural_Production
3007.0,3007.0,3064.0,2028,Agricultural_Production
3013.0,3013.0,3077.0,2029,Agricultural_Production
3018.0,3018.0,3086.0,2030,Agricultural_Production
3021.0,3020.0,3088.0,2031,Agricultural_Production
3023.0,3022.0,3085.0,2032,Agricultural_Production
3024.0,3022.0,3078.0,2033,Agricultural_Production
3025.0,3022.0,3067.0,2034,Agricultural_Production
3026.0,3022.0,3053.0,2035,Agricultural_Production
3026.0,3022.0,3036.0,2036,Agricultural_Production
3025.0,3021.0,3017.0,2037,Agricultural_Production
3025.0,3021.0,2995.0,2038,Agricultural_Production
3025.0,3020.0,2976.0,2039,Agricultural_Production
3024.0,3018.0,2928.0,2040,Agricultural_Production
3022.0,3016.0,2881.0,2041,Agricultural_Production
3019.0,3012.0,2838.0,2042,Agricultural_Production
3015.0,3008.0,2797.0,2043,Agricultural_Production
3010.0,3002.0,2758.0,2044,Agricultural_Production
3005.0,2997.0,2721.0,2045,Agricultural_Production
3001.0,2992.0,2686.0,2046,Agricultural_Production
2997.0,2988.0,2655.0,2047,Agricultural_Production
2993.0,2982.0,2625.0,2048,Agricultural_Production
2989.0,2978.0,2598.0,2049,Agricultural_Production
2985.0,2972.0,2572.0,2050,Agricultural_Production
2981.0,2967.0,2548.0,2051,Agricultural_Production
2975.0,2960.0,2525.0,2052,Agricultural_Production
2971.0,2954.0,2504.0,2053,Agricultural_Production
2965.0,2947.0,2483.0,2054,Agricultural_Production
2960.0,2940.0,2463.0,2055,Agricultural_Production
2954.0,2934.0,2454.0,2056,Agricultural_Production
2950.0,2927.0,2443.0,2057,Agricultural_Production
2947.0,2922.0,2431.0,2058,Agricultural_Production
2945.0,2917.0,2420.0,2059,Agricultural_Production
2944.0,2913.0,2411.0,2060,Agricultural_Production
11.71,11.71,11.71,2020,Average_Education_Years
11.76,11.76,11.76,2021,Average_Education_Years
11.81,11.81,11.81,2022,Average_Education_Years
11.85,11.85,11.85,2023,Average_Education_Years
11.9,11.9,11.9,2024,Average_Education_Years
11.94,11.94,11.94,2025,Average_Education_Years
11.98,11.98,11.99,2026,Average_Education_Years
12.03,12.03,12.03,2027,Average_Education_Years
12.07,12.07,12.08,2028,Average_Education_Years
12.11,12.11,12.13,2029,Average_Education_Years
12.15,12.15,12.17,2030,Average_Education_Years
12.19,12.19,12.22,2031,Average_Education_Years
12.23,12.23,12.27,2032,Average_Education_Years
12.28,12.28,12.32,2033,Average_Education_Years
12.31,12.32,12.37,2034,Average_Education_Years
12.35,12.35,12.42,2035,Average_Education_Years
12.39,12.39,12.47,2036,Average_Education_Years
12.43,12.43,12.52,2037,Average_Education_Years
12.47,12.47,12.57,2038,Average_Education_Years
12.51,12.51,12.62,2039,Average_Education_Years
12.55,12.55,12.67,2040,Average_Education_Years
12.58,12.58,12.72,2041,Average_Education_Years
12.62,12.62,12.77,2042,Average_Education_Years
12.65,12.66,12.82,2043,Average_Education_Years
12.69,12.69,12.87,2044,Average_Education_Years
12.73,12.73,12.92,2045,Average_Education_Years
12.76,12.76,12.97,2046,Average_Education_Years
12.79,12.79,13.02,2047,Average_Education_Years
12.83,12.83,13.07,2048,Average_Education_Years
12.86,12.86,13.11,2049,Average_Education_Years
12.89,12.89,13.16,2050,Average_Education_Years
12.92,12.93,13.21,2051,Average_Education_Years
12.96,12.96,13.26,2052,Average_Education_Years
12.99,12.99,13.3,2053,Average_Education_Years
13.02,13.02,13.35,2054,Average_Education_Years
13.05,13.05,13.4,2055,Average_Education_Years
13.08,13.09,13.44,2056,Average_Education_Years
13.11,13.12,13.49,2057,Average_Education_Years
13.14,13.15,13.54,2058,Average_Education_Years
13.17,13.18,13.58,2059,Average_Education_Years
13.2,13.21,13.63,2060,Average_Education_Years
2.717,2.717,2.717,2020,Carbon_Emissions_from_Fossil
2.67,2.67,2.67,2021,Carbon_Emissions_from_Fossil
2.682,2.682,2.682,2022,Carbon_Emissions_from_Fossil
2.7,2.7,2.7,2023,Carbon_Emissions_from_Fossil
