BaseCase,RA,RASDG,Year,indicator
17.38,17.38,17.38,2020,Access_to_Safely_Managed_Sanita
17.7,17.7,17.7,2021,Access_to_Safely_Managed_Sanita
18.01,18.01,18.01,2022,Access_to_Safely_Managed_Sanita
18.41,18.41,18.41,2023,Access_to_Safely_Managed_Sanita
18.76,18.76,18.76,2024,Access_to_Safely_Managed_Sanita
19.16,19.16,19.24,2025,Access_to_Safely_Managed_Sanita
19.64,19.64,19.79,2026,Access_to_Safely_Managed_Sanita
20.11,20.1,20.34,2027,Access_to_Safely_Managed_Sanita
20.61,20.61,20.91,2028,Access_to_Safely_Managed_Sanita
21.13,21.12,21.51,2029,Access_to_Safely_Managed_Sanita
21.64,21.63,22.14,2030,Access_to_Safely_Managed_Sanita
22.2,22.17,22.78,2031,Access_to_Safely_Managed_Sanita
22.8,22.79,23.47,2032,Access_to_Safely_Managed_Sanita
23.36,23.36,24.19,2033,Access_to_Safely_Managed_Sanita
23.91,23.92,24.93,2034,Access_to_Safely_Managed_Sanita
24.47,24.5,25.7,2035,Access_to_Safely_Managed_Sanita
25.03,25.07,26.5,2036,Access_to_Safely_Managed_Sanita
25.62,25.66,27.31,2037,Access_to_Safely_Managed_Sanita
26.22,26.27,28.12,2038,Access_to_Safely_Managed_Sanita
26.82,26.88,28.94,2039,Access_to_Safely_Managed_Sanita
27.41,27.5,29.74,2040,Access_to_Safely_Managed_Sanita
28.02,28.15,30.56,2041,Access_to_Safely_Managed_Sanita
28.64,28.8,31.39,2042,Access_to_Safely_Managed_Sanita
29.26,29.46,32.22,2043,Access_to_Safely_Managed_Sanita
29.9,30.13,33.04,2044,Access_to_Safely_Managed_Sanita
30.55,30.81,33.86,2045,Access_to_Safely_Managed_Sanita
31.22,31.5,34.67,2046,Access_to_Safely_Managed_Sanita
31.9,32.19,35.47,2047,Access_to_Safely_Managed_Sanita
32.59,32.89,36.27,2048,Access_to_Safely_Managed_Sanita
33.29,33.6,37.08,2049,Access_to_Safely_Managed_Sanita
34.0,34.32,37.9,2050,Access_to_Safely_Managed_Sanita
34.72,35.04,38.74,2051,Access_to_Safely_Managed_Sanita
35.44,35.77,39.58,2052,Access_to_Safely_Managed_Sanita
36.19,36.51,40.45,2053,Access_to_Safely_Managed_Sanita
36.95,37.27,41.34,2054,Access_to_Safely_Managed_Sanita
37.73,38.05,42.23,2055,Access_to_Safely_Managed_Sanita
38.53,38.83,43.14,2056,Access_to_Safely_Managed_Sanita
39.34,39.63,44.07,2057,Access_to_Safely_Managed_Sanita
40.18,40.45,45.03,2058,Access_to_Safely_Managed_Sanita
41.02,41.28,46.02,2059,Access_to_Safely_Managed_Sanita
41.9,42.14,47.05,2060,Access_to_Safely_Managed_Sanita
23.77,23.77,23.77,2020,Access_to_Safely_Managed_Water
24.04,24.04,24.04,2021,Access_to_Safely_Managed_Water
24.11,24.11,24.11,2022,Access_to_Safely_Managed_Water
24.45,24.45,24.45,2023,Access_to_Safely_Managed_Water
24.66,24.66,24.66,2024,Access_to_Safely_Managed_Water
24.89,24.87,25.04,2025,Access_to_Safely_Managed_Water
25.28,25.25,25.61,2026,Access_to_Safely_Managed_Water
25.78,25.75,26.3,2027,Access_to_Safely_Managed_Water
26.33,26.3,27.02,2028,Access_to_Safely_Managed_Water
26.96,26.93,27.84,2029,Access_to_Safely_Managed_Water
27.59,27.55,28.67,2030,Access_to_Safely_Managed_Water
28.25,28.21,29.55,2031,Access_to_Safely_Managed_Water
28.96,28.94,30.51,2032,Access_to_Safely_Managed_Water
29.61,29.61,31.5,2033,Access_to_Safely_Managed_Water
30.23,30.25,32.53,2034,Access_to_Safely_Managed_Water
30.85,30.9,33.59,2035,Access_to_Safely_Managed_Water
31.48,31.54,34.68,2036,Access_to_Safely_Managed_Water
32.13,32.2,35.79,2037,Access_to_Safely_Managed_Water
32.8,32.88,36.91,2038,Access_to_Safely_Managed_Water
33.5,33.59,37.95,2039,Access_to_Safely_Managed_Water
34.22,34.34,38.99,2040,Access_to_Safely_Managed_Water
34.97,35.12,40.05,2041,Access_to_Safely_Managed_Water
35.75,35.95,41.15,2042,Access_to_Safely_Managed_Water
36.57,36.83,42.29,2043,Access_to_Safely_Managed_Water
37.44,37.76,43.45,2044,Access_to_Safely_Managed_Water
38.35,38.72,44.63,2045,Access_to_Safely_Managed_Water
39.28,39.7,45.81,2046,Access_to_Safely_Managed_Water
40.24,40.71,46.99,2047,Access_to_Safely_Managed_Water
41.23,41.73,48.19,2048,Access_to_Safely_Managed_Water
42.24,42.78,49.37,2049,Access_to_Safely_Managed_Water
43.27,43.85,50.58,2050,Access_to_Safely_Managed_Water
44.31,44.92,51.79,2051,Access_to_Safely_Managed_Water
45.38,46.01,53.01,2052,Access_to_Safely_Managed_Water
46.47,47.12,54.24,2053,Access_to_Safely_Managed_Water
47.57,48.24,55.48,2054,Access_to_Safely_Managed_Water
48.7,49.39,56.74,2055,Access_to_Safely_Managed_Water
49.84,50.53,58.05,2056,Access_to_Safely_Managed_Water
51.0,51.7,59.37,2057,Access_to_Safely_Managed_Water
52.17,52.86,60.7,2058,Access_to_Safely_Managed_Water
