BaseCase,RA,RASDG,Year,indicator
44.89,44.89,44.89,2020,Access_to_Safely_Managed_Sanita
45.66,45.66,45.66,2021,Access_to_Safely_Managed_Sanita
45.76,45.76,45.76,2022,Access_to_Safely_Managed_Sanita
45.76,45.76,45.76,2023,Access_to_Safely_Managed_Sanita
45.92,45.92,45.92,2024,Access_to_Safely_Managed_Sanita
46.23,46.22,46.63,2025,Access_to_Safely_Managed_Sanita
46.59,46.59,47.14,2026,Access_to_Safely_Managed_Sanita
46.9,46.87,47.49,2027,Access_to_Safely_Managed_Sanita
47.23,47.2,47.99,2028,Access_to_Safely_Managed_Sanita
47.61,47.55,48.56,2029,Access_to_Safely_Managed_Sanita
47.99,47.91,49.18,2030,Access_to_Safely_Managed_Sanita
48.35,48.24,49.84,2031,Access_to_Safely_Managed_Sanita
48.68,48.56,50.55,2032,Access_to_Safely_Managed_Sanita
49.01,48.9,51.31,2033,Access_to_Safely_Managed_Sanita
49.34,49.28,52.11,2034,Access_to_Safely_Managed_Sanita
49.72,49.69,52.94,2035,Access_to_Safely_Managed_Sanita
50.14,50.12,53.81,2036,Access_to_Safely_Managed_Sanita
50.57,50.57,54.69,2037,Access_to_Safely_Managed_Sanita
51.02,51.03,55.58,2038,Access_to_Safely_Managed_Sanita
51.49,51.5,56.46,2039,Access_to_Safely_Managed_Sanita
51.97,51.99,57.31,2040,Access_to_Safely_Managed_Sanita
52.46,52.49,58.13,2041,Access_to_Safely_Managed_Sanita
52.96,53.01,58.94,2042,Access_to_Safely_Managed_Sanita
53.48,53.54,59.74,2043,Access_to_Safely_Managed_Sanita
54.01,54.08,60.55,2044,Access_to_Safely_Managed_Sanita
54.56,54.64,61.3,2045,Access_to_Safely_Managed_Sanita
55.11,55.21,62.05,2046,Access_to_Safely_Managed_Sanita
55.68,55.79,62.8,2047,Access_to_Safely_Managed_Sanita
56.25,56.38,63.56,2048,Access_to_Safely_Managed_Sanita
56.83,56.97,64.33,2049,Access_to_Safely_Managed_Sanita
57.42,57.57,65.1,2050,Access_to_Safely_Managed_Sanita
58.02,58.18,65.87,2051,Access_to_Safely_Managed_Sanita
58.63,58.8,66.65,2052,Access_to_Safely_Managed_Sanita
59.26,59.43,67.44,2053,Access_to_Safely_Managed_Sanita
59.89,60.08,68.24,2054,Access_to_Safely_Managed_Sanita
60.55,60.74,69.04,2055,Access_to_Safely_Managed_Sanita
61.21,61.4,69.87,2056,Access_to_Safely_Managed_Sanita
61.89,62.09,70.7,2057,Access_to_Safely_Managed_Sanita
62.59,62.77,71.56,2058,Access_to_Safely_Managed_Sanita
63.29,63.48,72.41,2059,Access_to_Safely_Managed_Sanita
64.01,64.17,73.29,2060,Access_to_Safely_Managed_Sanita
57.01,57.01,57.01,2020,Access_to_Safely_Managed_Water
57.87,57.87,57.87,2021,Access_to_Safely_Managed_Water
58.75,58.75,58.75,2022,Access_to_Safely_Managed_Water
59.49,59.49,59.49,2023,Access_to_Safely_Managed_Water
60.15,60.15,60.15,2024,Access_to_Safely_Managed_Water
60.83,60.83,61.2,2025,Access_to_Safely_Managed_Water
61.56,61.55,62.24,2026,Access_to_Safely_Managed_Water
62.2,62.18,63.1,2027,Access_to_Safely_Managed_Water
62.86,62.83,64.02,2028,Access_to_Safely_Managed_Water
63.53,63.49,64.93,2029,Access_to_Safely_Managed_Water
64.22,64.18,65.9,2030,Access_to_Safely_Managed_Water
64.92,64.88,66.89,2031,Access_to_Safely_Managed_Water
65.6,65.58,67.88,2032,Access_to_Safely_Managed_Water
66.25,66.26,68.83,2033,Access_to_Safely_Managed_Water
66.84,66.88,69.78,2034,Access_to_Safely_Managed_Water
67.42,67.5,70.71,2035,Access_to_Safely_Managed_Water
68.0,68.1,71.62,2036,Access_to_Safely_Managed_Water
68.59,68.7,72.51,2037,Access_to_Safely_Managed_Water
69.18,69.3,73.39,2038,Access_to_Safely_Managed_Water
69.78,69.9,74.2,2039,Access_to_Safely_Managed_Water
70.38,70.5,74.98,2040,Access_to_Safely_Managed_Water
70.99,71.11,75.76,2041,Access_to_Safely_Managed_Water
71.61,71.74,76.53,2042,Access_to_Safely_Managed_Water
72.22,72.36,77.28,2043,Access_to_Safely_Managed_Water
72.84,72.99,78.02,2044,Access_to_Safely_Managed_Water
73.45,73.62,78.74,2045,Access_to_Safely_Managed_Water
74.06,74.24,79.44,2046,Access_to_Safely_Managed_Water
74.67,74.86,80.14,2047,Access_to_Safely_Managed_Water
75.27,75.48,80.83,2048,Access_to_Safely_Managed_Water
75.87,76.1,81.51,2049,Access_to_Safely_Managed_Water
76.48,76.72,82.2,2050,Access_to_Safely_Managed_Water
77.09,77.33,82.86,2051,Access_to_Safely_Managed_Water
77.7,77.94,83.52,2052,Access_to_Safely_Managed_Water
78.32,78.56,84.18,2053,Access_to_Safely_Managed_Water
78.94,79.18,84.84,2054,Access_to_Safely_Managed_Water
79.58,79.81,85.5,2055,Access_to_Safely_Managed_Water
80.21,80.43,86.17,2056,Access_to_Safely_Managed_Water
80.85,81.06,86.84,2057,Access_to_Safely_Managed_Water
81.5,81.7,87.53,2058,Access_to_Safely_Managed_Water
82.16,82.36,88.2,2059,Access_to_Safely_Managed_Water
82.83,83.04,88.79,2060,Access_to_Safely_Managed_Water
2967.0,2967.0,2967.0,2020,Agricultural_Production
3064.0,3064.0,3064.0,2021,Agricultural_Production
3151.0,3151.0,3151.0,2022,Agricultural_Production
3228.0,3228.0,3228.0,2023,Agricultural_Production
3299.0,3299.0,3299.0,2024,Agricultural_Production
3369.0,3369.0,3402.0,2025,Agricultural_Production
3435.0,3435.0,3487.0,2026,Agricultural_Production
3494.0,3494.0,3559.0,2027,Agricultural_Production
3548.0,3548.0,3626.0,2028,Agricultural_Production
3602.0,3602.0,3691.0,2029,Agricultural_Production
3655.0,3654.0,3751.0,2030,Agricultural_Production
3705.0,3704.0,3808.0,2031,Agricultural_Production
3755.0,3753.0,3860.0,2032,Agricultural_Production
3802.0,3801.0,3907.0,2033,Agricultural_Production
3849.0,3847.0,3950.0,2034,Agricultural_Production
3893.0,3892.0,3991.0,2035,Agricultural_Production
3938.0,3936.0,4027.0,2036,Agricultural_Production
3980.0,3979.0,4062.0,2037,Agricultural_Production
4023.0,4022.0,4096.0,2038,Agricultural_Production
4066.0,4066.0,4136.0,2039,Agricultural_Production
4110.0,4111.0,4172.0,2040,Agricultural_Production
4155.0,4158.0,4207.0,2041,Agricultural_Production
4201.0,4204.0,4247.0,2042,Agricultural_Production
4248.0,4252.0,4290.0,2043,Agricultural_Production
4293.0,4299.0,4336.0,2044,Agricultural_Production
4338.0,4345.0,4385.0,2045,Agricultural_Production
4382.0,4390.0,4437.0,2046,Agricultural_Production
4425.0,4435.0,4490.0,2047,Agricultural_Production
4468.0,4480.0,4546.0,2048,Agricultural_Production
4510.0,4523.0,4602.0,2049,Agricultural_Production
4551.0,4567.0,4662.0,2050,Agricultural_Production
4591.0,4611.0,4723.0,2051,Agricultural_Production
4632.0,4654.0,4787.0,2052,Agricultural_Production
4675.0,4698.0,4852.0,2053,Agricultural_Production
4720.0,4743.0,4917.0,2054,Agricultural_Production
4765.0,4789.0,4977.0,2055,Agricultural_Production
4810.0,4835.0,5051.0,2056,Agricultural_Production
4856.0,4880.0,5120.0,2057,Agricultural_Production
4902.0,4925.0,5181.0,2058,Agricultural_Production
4949.0,4971.0,5230.0,2059,Agricultural_Production
4996.0,5017.0,5278.0,2060,Agricultural_Production
7.386,7.386,7.386,2020,Average_Education_Years
7.448,7.448,7.448,2021,Average_Education_Years
7.517,7.517,7.517,2022,Average_Education_Years
7.586,7.586,7.586,2023,Average_Education_Years
7.656,7.656,7.656,2024,Average_Education_Years
7.724,7.724,7.726,2025,Average_Education_Years
7.793,7.793,7.798,2026,Average_Education_Years
7.86,7.859,7.869,2027,Average_Education_Years
7.925,7.924,7.94,2028,Average_Education_Years
7.988,7.988,8.01,2029,Average_Education_Years
8.052,8.051,8.081,2030,Average_Education_Years
8.114,8.113,8.152,2031,Average_Education_Years
8.176,8.174,8.225,2032,Average_Education_Years
8.237,8.236,8.298,2033,Average_Education_Years
8.298,8.296,8.371,2034,Average_Education_Years
8.359,8.357,8.445,2035,Average_Education_Years
8.419,8.417,8.52,2036,Average_Education_Years
8.479,8.477,8.595,2037,Average_Education_Years
8.538,8.537,8.67,2038,Average_Education_Years
8.596,8.595,8.744,2039,Average_Education_Years
8.654,8.653,8.817,2040,Average_Education_Years
8.711,8.711,8.89,2041,Average_Education_Years
8.768,8.768,8.963,2042,Average_Education_Years
8.824,8.824,9.036,2043,Average_Education_Years
8.88,8.88,9.109,2044,Average_Education_Years
8.936,8.936,9.182,2045,Average_Education_Years
8.992,8.992,9.256,2046,Average_Education_Years
9.047,9.048,9.329,2047,Average_Education_Years
9.101,9.103,9.401,2048,Average_Education_Years
9.155,9.157,9.473,2049,Average_Education_Years
9.208,9.21,9.544,2050,Average_Education_Years
9.26,9.262,9.614,2051,Average_Education_Years
9.311,9.314,9.685,2052,Average_Education_Years
9.362,9.365,9.755,2053,Average_Education_Years
9.413,9.417,9.824,2054,Average_Education_Years
9.463,9.468,9.893,2055,Average_Education_Years
9.514,9.519,9.962,2056,Average_Education_Years
9.564,9.57,10.03,2057,Average_Education_Years
9.615,9.621,10.1,2058,Average_Education_Years
9.665,9.672,10.17,2059,Average_Education_Years
9.716,9.723,10.24,2060,Average_Education_Years
1.137,1.137,1.137,2020,Carbon_Emissions_from_Fossil
1.212,1.212,1.212,2021,Carbon_Emissions_from_Fossil
1.268,1.268,1.268,2022,Carbon_Emissions_from_Fossil
1.325,1.325,1.325,2023,Carbon_Emissions_from_Fossil
1.385,1.385,1.385,2024,Carbon_Emissions_from_Fossil
1.452,1.452,1.452,2025,Carbon_Emissions_from_Fossil
1.524,1.548,1.548,2026,Carbon_Emissions_from_Fossil
1.595,1.639,1.637,2027,Carbon_Emissions_from_Fossil
1.651,1.701,1.701,2028,Carbon_Emissions_from_Fossil
1.705,1.749,1.749,2029,Carbon_Emissions_from_Fossil
1.756,1.781,1.784,2030,Carbon_Emissions_from_Fossil
1.808,1.804,1.81,2031,Carbon_Emissions_from_Fossil
1.859,1.823,1.833,2032,Carbon_Emissions_from_Fossil
1.912,1.839,1.855,2033,Carbon_Emissions_from_Fossil
1.967,1.857,1.879,2034,Carbon_Emissions_from_Fossil
2.024,1.867,1.894,2035,Carbon_Emissions_from_Fossil
2.089,1.873,1.903,2036,Carbon_Emissions_from_Fossil
2.156,1.868,1.901,2037,Carbon_Emissions_from_Fossil
2.215,1.862,1.896,2038,Carbon_Emissions_from_Fossil
2.262,1.837,1.872,2039,Carbon_Emissions_from_Fossil
2.304,1.795,1.829,2040,Carbon_Emissions_from_Fossil
2.343,1.728,1.76,2041,Carbon_Emissions_from_Fossil
2.377,1.654,1.685,2042,Carbon_Emissions_from_Fossil
2.408,1.573,1.603,2043,Carbon_Emissions_from_Fossil
2.437,1.491,1.519,2044,Carbon_Emissions_from_Fossil
2.464,1.409,1.435,2045,Carbon_Emissions_from_Fossil
2.491,1.327,1.351,2046,Carbon_Emissions_from_Fossil
2.515,1.247,1.271,2047,Carbon_Emissions_from_Fossil
2.502,1.161,1.18,2048,Carbon_Emissions_from_Fossil
2.504,1.081,1.099,2049,Carbon_Emissions_from_Fossil
2.488,1.004,1.018,2050,Carbon_Emissions_from_Fossil
2.472,0.933,0.945,2051,Carbon_Emissions_from_Fossil
2.457,0.862,0.871,2052,Carbon_Emissions_from_Fossil
2.443,0.795,0.802,2053,Carbon_Emissions_from_Fossil
2.425,0.73,0.733,2054,Carbon_Emissions_from_Fossil
2.402,0.667,0.671,2055,Carbon_Emissions_from_Fossil
2.376,0.609,0.61,2056,Carbon_Emissions_from_Fossil
2.347,0.556,0.566,2057,Carbon_Emissions_from_Fossil
2.316,0.515,0.518,2058,Carbon_Emissions_from_Fossil
2.283,0.471,0.481,2059,Carbon_Emissions_from_Fossil
2.245,0.437,0.441,2060,Carbon_Emissions_from_Fossil
89.18,89.18,89.18,2020,Electricity_Access
90.02,90.02,90.02,2021,Electricity_Access
90.94,90.94,90.94,2022,Electricity_Access
91.43,91.43,91.43,2023,Electricity_Access
91.61,91.61,91.61,2024,Electricity_Access
91.74,92.1,92.35,2025,Electricity_Access
91.88,92.62,93.03,2026,Electricity_Access
92.02,93.0,93.56,2027,Electricity_Access
92.14,93.34,94.1,2028,Electricity_Access
92.28,93.68,94.66,2029,Electricity_Access
92.42,94.03,95.22,2030,Electricity_Access
92.57,94.4,95.68,2031,Electricity_Access
92.72,94.75,96.15,2032,Electricity_Access
92.88,95.05,96.56,2033,Electricity_Access
93.04,95.35,96.96,2034,Electricity_Access
93.19,95.66,97.33,2035,Electricity_Access
93.32,95.94,97.66,2036,Electricity_Access
93.46,96.18,97.98,2037,Electricity_Access
93.6,96.42,98.25,2038,Electricity_Access
93.75,96.66,98.5,2039,Electricity_Access
93.89,96.9,98.72,2040,Electricity_Access
94.05,97.12,98.95,2041,Electricity_Access
94.2,97.34,99.19,2042,Electricity_Access
94.36,97.57,99.41,2043,Electricity_Access
94.53,97.82,99.59,2044,Electricity_Access
94.7,98.05,99.76,2045,Electricity_Access
94.87,98.29,99.92,2046,Electricity_Access
95.04,98.53,99.98,2047,Electricity_Access
95.21,98.78,100.0,2048,Electricity_Access
95.39,99.03,100.0,2049,Electricity_Access
95.57,99.19,100.0,2050,Electricity_Access
95.75,99.34,100.0,2051,Electricity_Access
95.93,99.47,100.0,2052,Electricity_Access
96.1,99.59,100.0,2053,Electricity_Access
96.28,99.69,100.0,2054,Electricity_Access
96.47,99.8,100.0,2055,Electricity_Access
96.65,99.91,100.0,2056,Electricity_Access
96.83,100.0,100.0,2057,Electricity_Access
97.0,100.0,100.0,2058,Electricity_Access
97.17,100.0,100.0,2059,Electricity_Access
97.33,100.0,100.0,2060,Electricity_Access
717.6,717.6,717.6,2020,Electricity_Use
784.1,784.1,784.1,2021,Electricity_Use
832.4,832.5,832.5,2022,Electricity_Use
881.0,881.0,881.0,2023,Electricity_Use
927.7,927.8,927.8,2024,Electricity_Use
973.6,973.8,973.8,2025,Electricity_Use
1020.0,1024.0,1023.0,2026,Electricity_Use
1066.0,1074.0,1074.0,2027,Electricity_Use
1110.0,1122.0,1125.0,2028,Electricity_Use
1155.0,1173.0,1179.0,2029,Electricity_Use
1202.0,1226.0,1235.0,2030,Electricity_Use
1250.0,1280.0,1293.0,2031,Electricity_Use
1300.0,1335.0,1353.0,2032,Electricity_Use
1351.0,1392.0,1415.0,2033,Electricity_Use
1403.0,1451.0,1480.0,2034,Electricity_Use
1456.0,1511.0,1546.0,2035,Electricity_Use
1511.0,1571.0,1613.0,2036,Electricity_Use
1565.0,1632.0,1681.0,2037,Electricity_Use
1620.0,1689.0,1747.0,2038,Electricity_Use
1676.0,1746.0,1814.0,2039,Electricity_Use
1734.0,1803.0,1881.0,2040,Electricity_Use
1793.0,1860.0,1948.0,2041,Electricity_Use
1854.0,1917.0,2017.0,2042,Electricity_Use
1917.0,1974.0,2085.0,2043,Electricity_Use
1981.0,2029.0,2152.0,2044,Electricity_Use
2046.0,2084.0,2219.0,2045,Electricity_Use
2111.0,2137.0,2285.0,2046,Electricity_Use
2177.0,2188.0,2350.0,2047,Electricity_Use
2244.0,2250.0,2426.0,2048,Electricity_Use
2311.0,2312.0,2503.0,2049,Electricity_Use
2378.0,2372.0,2580.0,2050,Electricity_Use
2447.0,2431.0,2656.0,2051,Electricity_Use
2515.0,2489.0,2732.0,2052,Electricity_Use
2584.0,2545.0,2807.0,2053,Electricity_Use
2654.0,2600.0,2882.0,2054,Electricity_Use
2726.0,2655.0,2957.0,2055,Electricity_Use
2798.0,2708.0,3032.0,2056,Electricity_Use
2872.0,2756.0,3102.0,2057,Electricity_Use
2947.0,2803.0,3172.0,2058,Electricity_Use
3023.0,2850.0,3245.0,2059,Electricity_Use
3081.0,2879.0,3297.0,2060,Electricity_Use
5301.0,5301.0,5301.0,2020,Energy_Demand_per_capita
5599.0,5599.0,5599.0,2021,Energy_Demand_per_capita
5814.0,5814.0,5814.0,2022,Energy_Demand_per_capita
6029.0,6029.0,6029.0,2023,Energy_Demand_per_capita
6233.0,6234.0,6234.0,2024,Energy_Demand_per_capita
6437.0,6438.0,6438.0,2025,Energy_Demand_per_capita
6643.0,6669.0,6667.0,2026,Energy_Demand_per_capita
6855.0,6907.0,6902.0,2027,Energy_Demand_per_capita
7043.0,7123.0,7134.0,2028,Energy_Demand_per_capita
7245.0,7356.0,7383.0,2029,Energy_Demand_per_capita
7451.0,7598.0,7646.0,2030,Energy_Demand_per_capita
7664.0,7843.0,7913.0,2031,Energy_Demand_per_capita
7883.0,8094.0,8186.0,2032,Energy_Demand_per_capita
8108.0,8351.0,8468.0,2033,Energy_Demand_per_capita
8337.0,8613.0,8756.0,2034,Energy_Demand_per_capita
8569.0,8876.0,9049.0,2035,Energy_Demand_per_capita
8803.0,9136.0,9343.0,2036,Energy_Demand_per_capita
9034.0,9396.0,9639.0,2037,Energy_Demand_per_capita
