BaseCase,RA,RASDG,Year,indicator
21.49,21.49,21.49,2020,Access_to_Safely_Managed_Sanita
22.05,22.05,22.05,2021,Access_to_Safely_Managed_Sanita
22.46,22.46,22.46,2022,Access_to_Safely_Managed_Sanita
22.96,22.96,22.96,2023,Access_to_Safely_Managed_Sanita
23.45,23.45,23.45,2024,Access_to_Safely_Managed_Sanita
23.92,23.91,23.95,2025,Access_to_Safely_Managed_Sanita
24.39,24.39,24.49,2026,Access_to_Safely_Managed_Sanita
24.87,24.86,25.04,2027,Access_to_Safely_Managed_Sanita
25.37,25.36,25.61,2028,Access_to_Safely_Managed_Sanita
25.89,25.88,26.21,2029,Access_to_Safely_Managed_Sanita
26.4,26.39,26.82,2030,Access_to_Safely_Managed_Sanita
26.92,26.92,27.45,2031,Access_to_Safely_Managed_Sanita
27.46,27.46,28.12,2032,Access_to_Safely_Managed_Sanita
28.01,28.01,28.8,2033,Access_to_Safely_Managed_Sanita
28.57,28.58,29.52,2034,Access_to_Safely_Managed_Sanita
29.15,29.16,30.25,2035,Access_to_Safely_Managed_Sanita
29.74,29.76,31.0,2036,Access_to_Safely_Managed_Sanita
30.34,30.37,31.78,2037,Access_to_Safely_Managed_Sanita
30.95,30.98,32.56,2038,Access_to_Safely_Managed_Sanita
31.55,31.61,33.36,2039,Access_to_Safely_Managed_Sanita
32.16,32.23,34.16,2040,Access_to_Safely_Managed_Sanita
32.77,32.87,34.96,2041,Access_to_Safely_Managed_Sanita
33.39,33.52,35.76,2042,Access_to_Safely_Managed_Sanita
34.02,34.18,36.56,2043,Access_to_Safely_Managed_Sanita
34.66,34.85,37.36,2044,Access_to_Safely_Managed_Sanita
35.32,35.52,38.17,2045,Access_to_Safely_Managed_Sanita
35.98,36.2,38.98,2046,Access_to_Safely_Managed_Sanita
36.65,36.89,39.78,2047,Access_to_Safely_Managed_Sanita
37.34,37.59,40.61,2048,Access_to_Safely_Managed_Sanita
38.03,38.3,41.44,2049,Access_to_Safely_Managed_Sanita
38.75,39.03,42.29,2050,Access_to_Safely_Managed_Sanita
39.47,39.76,43.15,2051,Access_to_Safely_Managed_Sanita
40.2,40.51,44.04,2052,Access_to_Safely_Managed_Sanita
40.95,41.28,44.95,2053,Access_to_Safely_Managed_Sanita
41.72,42.07,45.9,2054,Access_to_Safely_Managed_Sanita
42.51,42.88,46.86,2055,Access_to_Safely_Managed_Sanita
43.33,43.7,47.86,2056,Access_to_Safely_Managed_Sanita
44.16,44.54,48.87,2057,Access_to_Safely_Managed_Sanita
45.02,45.39,49.92,2058,Access_to_Safely_Managed_Sanita
45.89,46.25,50.99,2059,Access_to_Safely_Managed_Sanita
46.78,47.1,52.08,2060,Access_to_Safely_Managed_Sanita
27.0,27.0,27.0,2020,Access_to_Safely_Managed_Water
27.55,27.55,27.55,2021,Access_to_Safely_Managed_Water
27.98,27.98,27.98,2022,Access_to_Safely_Managed_Water
28.62,28.62,28.62,2023,Access_to_Safely_Managed_Water
29.14,29.14,29.14,2024,Access_to_Safely_Managed_Water
29.63,29.61,29.71,2025,Access_to_Safely_Managed_Water
30.18,30.16,30.49,2026,Access_to_Safely_Managed_Water
30.79,30.76,31.33,2027,Access_to_Safely_Managed_Water
31.45,31.42,32.21,2028,Access_to_Safely_Managed_Water
32.14,32.11,33.1,2029,Access_to_Safely_Managed_Water
32.85,32.83,34.04,2030,Access_to_Safely_Managed_Water
33.58,33.57,35.02,2031,Access_to_Safely_Managed_Water
34.32,34.33,36.06,2032,Access_to_Safely_Managed_Water
35.05,35.08,37.14,2033,Access_to_Safely_Managed_Water
35.78,35.84,38.26,2034,Access_to_Safely_Managed_Water
36.51,36.61,39.4,2035,Access_to_Safely_Managed_Water
37.25,37.38,40.56,2036,Access_to_Safely_Managed_Water
38.01,38.15,41.73,2037,Access_to_Safely_Managed_Water
38.79,38.94,42.9,2038,Access_to_Safely_Managed_Water
39.57,39.75,43.98,2039,Access_to_Safely_Managed_Water
40.38,40.57,45.06,2040,Access_to_Safely_Managed_Water
41.21,41.43,46.15,2041,Access_to_Safely_Managed_Water
42.07,42.32,47.27,2042,Access_to_Safely_Managed_Water
42.96,43.26,48.41,2043,Access_to_Safely_Managed_Water
43.88,44.23,49.57,2044,Access_to_Safely_Managed_Water
44.82,45.21,50.74,2045,Access_to_Safely_Managed_Water
45.78,46.22,51.92,2046,Access_to_Safely_Managed_Water
46.77,47.24,53.1,2047,Access_to_Safely_Managed_Water
47.77,48.27,54.29,2048,Access_to_Safely_Managed_Water
48.79,49.33,55.48,2049,Access_to_Safely_Managed_Water
49.82,50.39,56.69,2050,Access_to_Safely_Managed_Water
50.86,51.47,57.92,2051,Access_to_Safely_Managed_Water
51.93,52.56,59.16,2052,Access_to_Safely_Managed_Water
53.02,53.67,60.42,2053,Access_to_Safely_Managed_Water
54.13,54.79,61.69,2054,Access_to_Safely_Managed_Water
55.26,55.93,62.99,2055,Access_to_Safely_Managed_Water
56.42,57.08,64.33,2056,Access_to_Safely_Managed_Water
57.61,58.27,65.68,2057,Access_to_Safely_Managed_Water
58.82,59.47,67.06,2058,Access_to_Safely_Managed_Water
60.05,60.71,68.47,2059,Access_to_Safely_Managed_Water
61.31,61.99,69.91,2060,Access_to_Safely_Managed_Water
911.2,911.2,911.2,2020,Agricultural_Production
935.6,935.6,935.6,2021,Agricultural_Production
964.3,964.3,964.3,2022,Agricultural_Production
994.3,994.3,994.3,2023,Agricultural_Production
1021.0,1021.0,1021.0,2024,Agricultural_Production
1047.0,1047.0,1062.0,2025,Agricultural_Production
1071.0,1071.0,1101.0,2026,Agricultural_Production
1092.0,1092.0,1131.0,2027,Agricultural_Production
1112.0,1113.0,1158.0,2028,Agricultural_Production
1132.0,1132.0,1183.0,2029,Agricultural_Production
1150.0,1150.0,1208.0,2030,Agricultural_Production
1169.0,1169.0,1232.0,2031,Agricultural_Production
1187.0,1188.0,1255.0,2032,Agricultural_Production
1207.0,1207.0,1276.0,2033,Agricultural_Production
1226.0,1227.0,1297.0,2034,Agricultural_Production
1246.0,1247.0,1318.0,2035,Agricultural_Production
1266.0,1268.0,1338.0,2036,Agricultural_Production
1287.0,1289.0,1358.0,2037,Agricultural_Production
1308.0,1310.0,1377.0,2038,Agricultural_Production
1329.0,1332.0,1397.0,2039,Agricultural_Production
1350.0,1355.0,1417.0,2040,Agricultural_Production
1372.0,1378.0,1436.0,2041,Agricultural_Production
1395.0,1402.0,1458.0,2042,Agricultural_Production
1418.0,1426.0,1481.0,2043,Agricultural_Production
1441.0,1451.0,1507.0,2044,Agricultural_Production
1466.0,1477.0,1534.0,2045,Agricultural_Production
1491.0,1504.0,1563.0,2046,Agricultural_Production
1517.0,1532.0,1594.0,2047,Agricultural_Production
