BaseCase,RA,RASDG,Year,indicator
61.76,61.76,61.76,2020,Access_to_Safely_Managed_Sanita
63.53,63.53,63.53,2021,Access_to_Safely_Managed_Sanita
64.71,64.71,64.71,2022,Access_to_Safely_Managed_Sanita
65.73,65.73,65.73,2023,Access_to_Safely_Managed_Sanita
66.9,66.9,66.9,2024,Access_to_Safely_Managed_Sanita
68.05,68.04,68.57,2025,Access_to_Safely_Managed_Sanita
69.11,69.11,69.78,2026,Access_to_Safely_Managed_Sanita
70.26,70.27,71.22,2027,Access_to_Safely_Managed_Sanita
71.19,71.22,72.68,2028,Access_to_Safely_Managed_Sanita
72.12,72.16,74.14,2029,Access_to_Safely_Managed_Sanita
73.05,73.09,75.56,2030,Access_to_Safely_Managed_Sanita
73.95,74.01,76.94,2031,Access_to_Safely_Managed_Sanita
74.83,74.9,78.13,2032,Access_to_Safely_Managed_Sanita
75.4,75.47,79.12,2033,Access_to_Safely_Managed_Sanita
75.92,76.0,80.02,2034,Access_to_Safely_Managed_Sanita
76.41,76.52,80.9,2035,Access_to_Safely_Managed_Sanita
76.89,76.99,81.7,2036,Access_to_Safely_Managed_Sanita
77.3,77.42,82.46,2037,Access_to_Safely_Managed_Sanita
77.7,77.83,83.21,2038,Access_to_Safely_Managed_Sanita
78.07,78.21,83.88,2039,Access_to_Safely_Managed_Sanita
78.52,78.63,84.48,2040,Access_to_Safely_Managed_Sanita
78.97,79.08,85.07,2041,Access_to_Safely_Managed_Sanita
79.42,79.54,85.62,2042,Access_to_Safely_Managed_Sanita
79.87,79.99,86.15,2043,Access_to_Safely_Managed_Sanita
80.31,80.45,86.66,2044,Access_to_Safely_Managed_Sanita
80.75,80.89,87.15,2045,Access_to_Safely_Managed_Sanita
81.19,81.33,87.61,2046,Access_to_Safely_Managed_Sanita
81.61,81.77,88.08,2047,Access_to_Safely_Managed_Sanita
82.03,82.21,88.53,2048,Access_to_Safely_Managed_Sanita
82.45,82.64,88.98,2049,Access_to_Safely_Managed_Sanita
82.86,83.07,89.4,2050,Access_to_Safely_Managed_Sanita
83.28,83.5,89.83,2051,Access_to_Safely_Managed_Sanita
83.69,83.91,90.25,2052,Access_to_Safely_Managed_Sanita
84.11,84.33,90.67,2053,Access_to_Safely_Managed_Sanita
84.53,84.75,91.08,2054,Access_to_Safely_Managed_Sanita
84.95,85.18,91.5,2055,Access_to_Safely_Managed_Sanita
85.38,85.6,91.92,2056,Access_to_Safely_Managed_Sanita
85.82,86.04,92.33,2057,Access_to_Safely_Managed_Sanita
86.25,86.48,92.74,2058,Access_to_Safely_Managed_Sanita
86.69,86.94,93.16,2059,Access_to_Safely_Managed_Sanita
87.14,87.4,93.57,2060,Access_to_Safely_Managed_Sanita
78.85,78.85,78.85,2020,Access_to_Safely_Managed_Water
80.4,80.4,80.4,2021,Access_to_Safely_Managed_Water
81.21,81.21,81.21,2022,Access_to_Safely_Managed_Water
82.1,82.1,82.1,2023,Access_to_Safely_Managed_Water
82.95,82.95,82.95,2024,Access_to_Safely_Managed_Water
83.66,83.66,83.9,2025,Access_to_Safely_Managed_Water
84.33,84.33,84.68,2026,Access_to_Safely_Managed_Water
85.01,85.02,85.52,2027,Access_to_Safely_Managed_Water
85.58,85.59,86.33,2028,Access_to_Safely_Managed_Water
86.12,86.13,87.12,2029,Access_to_Safely_Managed_Water
86.63,86.65,87.88,2030,Access_to_Safely_Managed_Water
87.12,87.15,88.6,2031,Access_to_Safely_Managed_Water
87.58,87.62,89.29,2032,Access_to_Safely_Managed_Water
88.0,88.06,89.91,2033,Access_to_Safely_Managed_Water
88.39,88.47,90.49,2034,Access_to_Safely_Managed_Water
88.76,88.84,91.02,2035,Access_to_Safely_Managed_Water
89.12,89.21,91.53,2036,Access_to_Safely_Managed_Water
89.46,89.56,92.0,2037,Access_to_Safely_Managed_Water
89.79,89.89,92.44,2038,Access_to_Safely_Managed_Water
90.1,90.21,92.84,2039,Access_to_Safely_Managed_Water
90.42,90.53,93.21,2040,Access_to_Safely_Managed_Water
90.74,90.85,93.56,2041,Access_to_Safely_Managed_Water
91.06,91.18,93.89,2042,Access_to_Safely_Managed_Water
91.37,91.49,94.21,2043,Access_to_Safely_Managed_Water
91.68,91.81,94.52,2044,Access_to_Safely_Managed_Water
91.98,92.11,94.81,2045,Access_to_Safely_Managed_Water
92.27,92.41,95.08,2046,Access_to_Safely_Managed_Water
92.56,92.7,95.35,2047,Access_to_Safely_Managed_Water
92.84,92.99,95.61,2048,Access_to_Safely_Managed_Water
93.11,93.28,95.86,2049,Access_to_Safely_Managed_Water
93.38,93.56,96.1,2050,Access_to_Safely_Managed_Water
93.66,93.84,96.34,2051,Access_to_Safely_Managed_Water
93.92,94.11,96.57,2052,Access_to_Safely_Managed_Water
94.19,94.38,96.79,2053,Access_to_Safely_Managed_Water
94.46,94.65,97.01,2054,Access_to_Safely_Managed_Water
94.74,94.92,97.22,2055,Access_to_Safely_Managed_Water
95.01,95.18,97.43,2056,Access_to_Safely_Managed_Water
95.28,95.45,97.63,2057,Access_to_Safely_Managed_Water
95.55,95.71,97.83,2058,Access_to_Safely_Managed_Water
95.81,95.97,98.02,2059,Access_to_Safely_Managed_Water
96.08,96.23,98.2,2060,Access_to_Safely_Managed_Water
5687.0,5687.0,5687.0,2020,Agricultural_Production
5850.0,5850.0,5850.0,2021,Agricultural_Production
6015.0,6015.0,6015.0,2022,Agricultural_Production
6154.0,6154.0,6154.0,2023,Agricultural_Production
6272.0,6272.0,6272.0,2024,Agricultural_Production
6392.0,6392.0,6471.0,2025,Agricultural_Production
6506.0,6506.0,6638.0,2026,Agricultural_Production
6608.0,6608.0,6777.0,2027,Agricultural_Production
6698.0,6698.0,6904.0,2028,Agricultural_Production
6777.0,6777.0,7013.0,2029,Agricultural_Production
6849.0,6846.0,7105.0,2030,Agricultural_Production
6914.0,6910.0,7187.0,2031,Agricultural_Production
6973.0,6968.0,7259.0,2032,Agricultural_Production
7027.0,7021.0,7320.0,2033,Agricultural_Production
7076.0,7071.0,7372.0,2034,Agricultural_Production
7123.0,7117.0,7413.0,2035,Agricultural_Production
7166.0,7161.0,7445.0,2036,Agricultural_Production
7208.0,7203.0,7469.0,2037,Agricultural_Production
7248.0,7244.0,7482.0,2038,Agricultural_Production
7286.0,7283.0,7491.0,2039,Agricultural_Production
