BaseCase,RA,RASDG,Year,indicator,Country/Region
47.59,47.59,47.59,2020,Access_to_Safely_Managed_Sanita,Central & Southern Asia
48.53,48.53,48.53,2021,Access_to_Safely_Managed_Sanita,Central & Southern Asia
48.58,48.58,48.58,2022,Access_to_Safely_Managed_Sanita,Central & Southern Asia
48.54,48.54,48.54,2023,Access_to_Safely_Managed_Sanita,Central & Southern Asia
48.57,48.57,48.57,2024,Access_to_Safely_Managed_Sanita,Central & Southern Asia
48.83,48.83,49.33,2025,Access_to_Safely_Managed_Sanita,Central & Southern Asia
49.16,49.16,49.88,2026,Access_to_Safely_Managed_Sanita,Central & Southern Asia
49.46,49.41,50.17,2027,Access_to_Safely_Managed_Sanita,Central & Southern Asia
49.75,49.72,50.67,2028,Access_to_Safely_Managed_Sanita,Central & Southern Asia
50.14,50.05,51.27,2029,Access_to_Safely_Managed_Sanita,Central & Southern Asia
50.52,50.4,51.93,2030,Access_to_Safely_Managed_Sanita,Central & Southern Asia
50.86,50.7,52.64,2031,Access_to_Safely_Managed_Sanita,Central & Southern Asia
51.16,51,53.41,2032,Access_to_Safely_Managed_Sanita,Central & Southern Asia
51.46,51.3,54.24,2033,Access_to_Safely_Managed_Sanita,Central & Southern Asia
51.75,51.66,55.13,2034,Access_to_Safely_Managed_Sanita,Central & Southern Asia
52.09,52.06,56.07,2035,Access_to_Safely_Managed_Sanita,Central & Southern Asia
52.51,52.49,57.04,2036,Access_to_Safely_Managed_Sanita,Central & Southern Asia
52.95,52.94,58.05,2037,Access_to_Safely_Managed_Sanita,Central & Southern Asia
53.41,53.42,59.07,2038,Access_to_Safely_Managed_Sanita,Central & Southern Asia
53.88,53.91,60.07,2039,Access_to_Safely_Managed_Sanita,Central & Southern Asia
54.38,54.42,61.02,2040,Access_to_Safely_Managed_Sanita,Central & Southern Asia
54.89,54.94,61.92,2041,Access_to_Safely_Managed_Sanita,Central & Southern Asia
55.41,55.48,62.79,2042,Access_to_Safely_Managed_Sanita,Central & Southern Asia
55.96,56.03,63.64,2043,Access_to_Safely_Managed_Sanita,Central & Southern Asia
56.51,56.6,64.47,2044,Access_to_Safely_Managed_Sanita,Central & Southern Asia
57.09,57.18,65.29,2045,Access_to_Safely_Managed_Sanita,Central & Southern Asia
57.68,57.78,66.09,2046,Access_to_Safely_Managed_Sanita,Central & Southern Asia
58.28,58.39,66.88,2047,Access_to_Safely_Managed_Sanita,Central & Southern Asia
58.9,59.01,67.67,2048,Access_to_Safely_Managed_Sanita,Central & Southern Asia
59.51,59.64,68.47,2049,Access_to_Safely_Managed_Sanita,Central & Southern Asia
60.14,60.27,69.27,2050,Access_to_Safely_Managed_Sanita,Central & Southern Asia
60.78,60.91,70.07,2051,Access_to_Safely_Managed_Sanita,Central & Southern Asia
61.42,61.56,70.87,2052,Access_to_Safely_Managed_Sanita,Central & Southern Asia
62.07,62.21,71.67,2053,Access_to_Safely_Managed_Sanita,Central & Southern Asia
62.74,62.88,72.47,2054,Access_to_Safely_Managed_Sanita,Central & Southern Asia
63.41,63.54,73.27,2055,Access_to_Safely_Managed_Sanita,Central & Southern Asia
64.09,64.21,74.08,2056,Access_to_Safely_Managed_Sanita,Central & Southern Asia
64.78,64.89,74.9,2057,Access_to_Safely_Managed_Sanita,Central & Southern Asia
65.48,65.57,75.75,2058,Access_to_Safely_Managed_Sanita,Central & Southern Asia
66.19,66.28,76.58,2059,Access_to_Safely_Managed_Sanita,Central & Southern Asia
66.91,66.99,77.45,2060,Access_to_Safely_Managed_Sanita,Central & Southern Asia
67.54,67.54,67.54,2020,Access_to_Safely_Managed_Sanita,East & Southeast Asia
69.19,69.19,69.19,2021,Access_to_Safely_Managed_Sanita,East & Southeast Asia
70.62,70.62,70.62,2022,Access_to_Safely_Managed_Sanita,East & Southeast Asia
71.78,71.78,71.78,2023,Access_to_Safely_Managed_Sanita,East & Southeast Asia
73.11,73.11,73.11,2024,Access_to_Safely_Managed_Sanita,East & Southeast Asia
74.36,74.36,74.76,2025,Access_to_Safely_Managed_Sanita,East & Southeast Asia
75.5,75.5,75.99,2026,Access_to_Safely_Managed_Sanita,East & Southeast Asia
76.71,76.71,77.49,2027,Access_to_Safely_Managed_Sanita,East & Southeast Asia
77.71,77.74,79.02,2028,Access_to_Safely_Managed_Sanita,East & Southeast Asia
78.7,78.75,80.51,2029,Access_to_Safely_Managed_Sanita,East & Southeast Asia
79.69,79.75,81.94,2030,Access_to_Safely_Managed_Sanita,East & Southeast Asia
80.65,80.73,83.3,2031,Access_to_Safely_Managed_Sanita,East & Southeast Asia
81.58,81.67,84.41,2032,Access_to_Safely_Managed_Sanita,East & Southeast Asia
82.12,82.19,85.25,2033,Access_to_Safely_Managed_Sanita,East & Southeast Asia
82.58,82.67,85.98,2034,Access_to_Safely_Managed_Sanita,East & Southeast Asia
83.01,83.11,86.67,2035,Access_to_Safely_Managed_Sanita,East & Southeast Asia
83.41,83.51,87.28,2036,Access_to_Safely_Managed_Sanita,East & Southeast Asia
83.74,83.85,87.83,2037,Access_to_Safely_Managed_Sanita,East & Southeast Asia
84.04,84.16,88.38,2038,Access_to_Safely_Managed_Sanita,East & Southeast Asia
84.3,84.44,88.85,2039,Access_to_Safely_Managed_Sanita,East & Southeast Asia
84.67,84.75,89.27,2040,Access_to_Safely_Managed_Sanita,East & Southeast Asia
85.04,85.12,89.7,2041,Access_to_Safely_Managed_Sanita,East & Southeast Asia
85.41,85.49,90.1,2042,Access_to_Safely_Managed_Sanita,East & Southeast Asia
85.78,85.85,90.48,2043,Access_to_Safely_Managed_Sanita,East & Southeast Asia
86.14,86.21,90.86,2044,Access_to_Safely_Managed_Sanita,East & Southeast Asia
86.49,86.56,91.21,2045,Access_to_Safely_Managed_Sanita,East & Southeast Asia
86.83,86.91,91.54,2046,Access_to_Safely_Managed_Sanita,East & Southeast Asia
87.17,87.25,91.88,2047,Access_to_Safely_Managed_Sanita,East & Southeast Asia
87.5,87.58,92.2,2048,Access_to_Safely_Managed_Sanita,East & Southeast Asia
87.83,87.91,92.53,2049,Access_to_Safely_Managed_Sanita,East & Southeast Asia
88.14,88.24,92.84,2050,Access_to_Safely_Managed_Sanita,East & Southeast Asia
88.46,88.56,93.16,2051,Access_to_Safely_Managed_Sanita,East & Southeast Asia
88.78,88.88,93.46,2052,Access_to_Safely_Managed_Sanita,East & Southeast Asia
89.09,89.19,93.77,2053,Access_to_Safely_Managed_Sanita,East & Southeast Asia
89.41,89.51,94.07,2054,Access_to_Safely_Managed_Sanita,East & Southeast Asia
89.73,89.83,94.37,2055,Access_to_Safely_Managed_Sanita,East & Southeast Asia
90.06,90.15,94.68,2056,Access_to_Safely_Managed_Sanita,East & Southeast Asia
90.39,90.47,94.98,2057,Access_to_Safely_Managed_Sanita,East & Southeast Asia
90.72,90.8,95.27,2058,Access_to_Safely_Managed_Sanita,East & Southeast Asia
91.05,91.12,95.57,2059,Access_to_Safely_Managed_Sanita,East & Southeast Asia
91.37,91.45,95.85,2060,Access_to_Safely_Managed_Sanita,East & Southeast Asia
87.02,87.02,87.02,2020,Access_to_Safely_Managed_Sanita,Europe & North America
88.17,88.17,88.17,2021,Access_to_Safely_Managed_Sanita,Europe & North America
88.28,88.28,88.28,2022,Access_to_Safely_Managed_Sanita,Europe & North America
88.43,88.43,88.43,2023,Access_to_Safely_Managed_Sanita,Europe & North America
88.78,88.78,88.78,2024,Access_to_Safely_Managed_Sanita,Europe & North America
89.14,89.14,89.57,2025,Access_to_Safely_Managed_Sanita,Europe & North America
89.49,89.49,90,2026,Access_to_Safely_Managed_Sanita,Europe & North America
89.84,89.84,90.47,2027,Access_to_Safely_Managed_Sanita,Europe & North America
90.11,90.1,90.97,2028,Access_to_Safely_Managed_Sanita,Europe & North America
90.38,90.37,91.48,2029,Access_to_Safely_Managed_Sanita,Europe & North America
90.65,90.65,91.98,2030,Access_to_Safely_Managed_Sanita,Europe & North America
90.92,90.92,92.47,2031,Access_to_Safely_Managed_Sanita,Europe & North America
91.19,91.19,92.96,2032,Access_to_Safely_Managed_Sanita,Europe & North America
91.46,91.46,93.42,2033,Access_to_Safely_Managed_Sanita,Europe & North America
91.71,91.72,93.85,2034,Access_to_Safely_Managed_Sanita,Europe & North America
91.96,91.97,94.26,2035,Access_to_Safely_Managed_Sanita,Europe & North America
92.2,92.21,94.63,2036,Access_to_Safely_Managed_Sanita,Europe & North America
92.43,92.44,94.98,2037,Access_to_Safely_Managed_Sanita,Europe & North America
92.65,92.68,95.3,2038,Access_to_Safely_Managed_Sanita,Europe & North America
92.88,92.9,95.57,2039,Access_to_Safely_Managed_Sanita,Europe & North America
93.1,93.12,95.82,2040,Access_to_Safely_Managed_Sanita,Europe & North America
93.3,93.34,96.04,2041,Access_to_Safely_Managed_Sanita,Europe & North America
93.51,93.55,96.24,2042,Access_to_Safely_Managed_Sanita,Europe & North America
93.71,93.76,96.43,2043,Access_to_Safely_Managed_Sanita,Europe & North America
93.91,93.96,96.61,2044,Access_to_Safely_Managed_Sanita,Europe & North America
94.11,94.16,96.77,2045,Access_to_Safely_Managed_Sanita,Europe & North America
94.3,94.36,96.93,2046,Access_to_Safely_Managed_Sanita,Europe & North America
94.5,94.56,97.08,2047,Access_to_Safely_Managed_Sanita,Europe & North America
94.68,94.75,97.22,2048,Access_to_Safely_Managed_Sanita,Europe & North America
94.87,94.94,97.35,2049,Access_to_Safely_Managed_Sanita,Europe & North America
95.05,95.13,97.48,2050,Access_to_Safely_Managed_Sanita,Europe & North America
95.23,95.32,97.61,2051,Access_to_Safely_Managed_Sanita,Europe & North America
95.41,95.5,97.75,2052,Access_to_Safely_Managed_Sanita,Europe & North America
95.6,95.69,97.87,2053,Access_to_Safely_Managed_Sanita,Europe & North America
95.78,95.87,98.01,2054,Access_to_Safely_Managed_Sanita,Europe & North America
95.97,96.06,98.12,2055,Access_to_Safely_Managed_Sanita,Europe & North America
96.15,96.24,98.26,2056,Access_to_Safely_Managed_Sanita,Europe & North America
96.34,96.43,98.37,2057,Access_to_Safely_Managed_Sanita,Europe & North America
96.53,96.63,98.5,2058,Access_to_Safely_Managed_Sanita,Europe & North America
96.72,96.84,98.6,2059,Access_to_Safely_Managed_Sanita,Europe & North America
96.93,97.04,98.73,2060,Access_to_Safely_Managed_Sanita,Europe & North America
90.37,90.37,90.37,2020,Access_to_Safely_Managed_Sanita,High Income Countries
91.41,91.41,91.41,2021,Access_to_Safely_Managed_Sanita,High Income Countries
91.83,91.83,91.83,2022,Access_to_Safely_Managed_Sanita,High Income Countries
91.83,91.83,91.83,2023,Access_to_Safely_Managed_Sanita,High Income Countries
92.09,92.09,92.09,2024,Access_to_Safely_Managed_Sanita,High Income Countries
92.42,92.42,92.81,2025,Access_to_Safely_Managed_Sanita,High Income Countries
92.7,92.7,93.24,2026,Access_to_Safely_Managed_Sanita,High Income Countries
92.97,92.97,93.62,2027,Access_to_Safely_Managed_Sanita,High Income Countries
93.15,93.15,94.04,2028,Access_to_Safely_Managed_Sanita,High Income Countries
93.34,93.34,94.45,2029,Access_to_Safely_Managed_Sanita,High Income Countries
93.52,93.52,94.85,2030,Access_to_Safely_Managed_Sanita,High Income Countries
93.69,93.7,95.24,2031,Access_to_Safely_Managed_Sanita,High Income Countries
93.86,93.89,95.61,2032,Access_to_Safely_Managed_Sanita,High Income Countries
94.04,94.07,95.95,2033,Access_to_Safely_Managed_Sanita,High Income Countries
94.2,94.24,96.26,2034,Access_to_Safely_Managed_Sanita,High Income Countries
