BaseCase,RA,RASDG,Year,indicator,Country/Region
64.03,64.03,64.03,2020,Access_to_Safely_Managed_Water,Central & Southern Asia
65.08,65.08,65.08,2021,Access_to_Safely_Managed_Water,Central & Southern Asia
66.14,66.14,66.14,2022,Access_to_Safely_Managed_Water,Central & Southern Asia
67.02,67.02,67.02,2023,Access_to_Safely_Managed_Water,Central & Southern Asia
67.74,67.74,67.74,2024,Access_to_Safely_Managed_Water,Central & Southern Asia
68.47,68.47,68.89,2025,Access_to_Safely_Managed_Water,Central & Southern Asia
69.21,69.21,70,2026,Access_to_Safely_Managed_Water,Central & Southern Asia
69.88,69.85,70.85,2027,Access_to_Safely_Managed_Water,Central & Southern Asia
70.54,70.51,71.78,2028,Access_to_Safely_Managed_Water,Central & Southern Asia
71.24,71.19,72.72,2029,Access_to_Safely_Managed_Water,Central & Southern Asia
71.97,71.91,73.72,2030,Access_to_Safely_Managed_Water,Central & Southern Asia
72.69,72.64,74.74,2031,Access_to_Safely_Managed_Water,Central & Southern Asia
73.39,73.35,75.71,2032,Access_to_Safely_Managed_Water,Central & Southern Asia
74.04,74.03,76.62,2033,Access_to_Safely_Managed_Water,Central & Southern Asia
74.59,74.62,77.5,2034,Access_to_Safely_Managed_Water,Central & Southern Asia
75.13,75.19,78.36,2035,Access_to_Safely_Managed_Water,Central & Southern Asia
75.68,75.76,79.2,2036,Access_to_Safely_Managed_Water,Central & Southern Asia
76.23,76.32,80.02,2037,Access_to_Safely_Managed_Water,Central & Southern Asia
76.79,76.88,80.82,2038,Access_to_Safely_Managed_Water,Central & Southern Asia
77.34,77.44,81.56,2039,Access_to_Safely_Managed_Water,Central & Southern Asia
77.9,78,82.27,2040,Access_to_Safely_Managed_Water,Central & Southern Asia
78.46,78.57,82.96,2041,Access_to_Safely_Managed_Water,Central & Southern Asia
79.02,79.13,83.62,2042,Access_to_Safely_Managed_Water,Central & Southern Asia
79.58,79.69,84.26,2043,Access_to_Safely_Managed_Water,Central & Southern Asia
80.12,80.24,84.89,2044,Access_to_Safely_Managed_Water,Central & Southern Asia
80.65,80.78,85.5,2045,Access_to_Safely_Managed_Water,Central & Southern Asia
81.18,81.32,86.1,2046,Access_to_Safely_Managed_Water,Central & Southern Asia
81.7,81.85,86.68,2047,Access_to_Safely_Managed_Water,Central & Southern Asia
82.22,82.37,87.26,2048,Access_to_Safely_Managed_Water,Central & Southern Asia
82.73,82.89,87.81,2049,Access_to_Safely_Managed_Water,Central & Southern Asia
83.25,83.39,88.36,2050,Access_to_Safely_Managed_Water,Central & Southern Asia
83.75,83.89,88.86,2051,Access_to_Safely_Managed_Water,Central & Southern Asia
84.24,84.38,89.36,2052,Access_to_Safely_Managed_Water,Central & Southern Asia
84.73,84.87,89.85,2053,Access_to_Safely_Managed_Water,Central & Southern Asia
85.23,85.35,90.33,2054,Access_to_Safely_Managed_Water,Central & Southern Asia
85.72,85.83,90.8,2055,Access_to_Safely_Managed_Water,Central & Southern Asia
86.19,86.28,91.27,2056,Access_to_Safely_Managed_Water,Central & Southern Asia
86.65,86.73,91.73,2057,Access_to_Safely_Managed_Water,Central & Southern Asia
87.11,87.17,92.19,2058,Access_to_Safely_Managed_Water,Central & Southern Asia
87.55,87.62,92.61,2059,Access_to_Safely_Managed_Water,Central & Southern Asia
88,88.06,92.87,2060,Access_to_Safely_Managed_Water,Central & Southern Asia
78.38,78.38,78.38,2020,Access_to_Safely_Managed_Water,East & Southeast Asia
79.83,79.83,79.83,2021,Access_to_Safely_Managed_Water,East & Southeast Asia
80.78,80.78,80.78,2022,Access_to_Safely_Managed_Water,East & Southeast Asia
81.82,81.82,81.82,2023,Access_to_Safely_Managed_Water,East & Southeast Asia
82.84,82.84,82.84,2024,Access_to_Safely_Managed_Water,East & Southeast Asia
83.64,83.64,83.82,2025,Access_to_Safely_Managed_Water,East & Southeast Asia
84.37,84.37,84.67,2026,Access_to_Safely_Managed_Water,East & Southeast Asia
85.08,85.08,85.54,2027,Access_to_Safely_Managed_Water,East & Southeast Asia
85.68,85.69,86.4,2028,Access_to_Safely_Managed_Water,East & Southeast Asia
