BaseCase,RA,RASDG,Year,indicator,Country/Region
6.478,6.478,6.478,2020,Average_Education_Years,Central & Southern Asia
6.565,6.565,6.565,2021,Average_Education_Years,Central & Southern Asia
6.656,6.656,6.656,2022,Average_Education_Years,Central & Southern Asia
6.746,6.746,6.746,2023,Average_Education_Years,Central & Southern Asia
6.836,6.836,6.836,2024,Average_Education_Years,Central & Southern Asia
6.925,6.925,6.925,2025,Average_Education_Years,Central & Southern Asia
7.012,7.012,7.015,2026,Average_Education_Years,Central & Southern Asia
7.1,7.1,7.105,2027,Average_Education_Years,Central & Southern Asia
7.187,7.187,7.197,2028,Average_Education_Years,Central & Southern Asia
7.274,7.273,7.289,2029,Average_Education_Years,Central & Southern Asia
7.359,7.358,7.381,2030,Average_Education_Years,Central & Southern Asia
7.443,7.442,7.473,2031,Average_Education_Years,Central & Southern Asia
7.525,7.524,7.565,2032,Average_Education_Years,Central & Southern Asia
7.607,7.605,7.656,2033,Average_Education_Years,Central & Southern Asia
7.687,7.685,7.748,2034,Average_Education_Years,Central & Southern Asia
7.766,7.764,7.841,2035,Average_Education_Years,Central & Southern Asia
7.844,7.842,7.933,2036,Average_Education_Years,Central & Southern Asia
7.921,7.919,8.026,2037,Average_Education_Years,Central & Southern Asia
7.997,7.995,8.119,2038,Average_Education_Years,Central & Southern Asia
8.071,8.07,8.212,2039,Average_Education_Years,Central & Southern Asia
8.146,8.144,8.304,2040,Average_Education_Years,Central & Southern Asia
8.219,8.218,8.397,2041,Average_Education_Years,Central & Southern Asia
8.291,8.29,8.489,2042,Average_Education_Years,Central & Southern Asia
8.363,8.362,8.581,2043,Average_Education_Years,Central & Southern Asia
8.433,8.433,8.673,2044,Average_Education_Years,Central & Southern Asia
8.503,8.503,8.764,2045,Average_Education_Years,Central & Southern Asia
8.572,8.572,8.854,2046,Average_Education_Years,Central & Southern Asia
8.639,8.64,8.944,2047,Average_Education_Years,Central & Southern Asia
8.707,8.708,9.034,2048,Average_Education_Years,Central & Southern Asia
8.773,8.775,9.124,2049,Average_Education_Years,Central & Southern Asia
8.84,8.842,9.213,2050,Average_Education_Years,Central & Southern Asia
8.905,8.908,9.302,2051,Average_Education_Years,Central & Southern Asia
8.971,8.974,9.39,2052,Average_Education_Years,Central & Southern Asia
9.035,9.039,9.477,2053,Average_Education_Years,Central & Southern Asia
9.099,9.103,9.562,2054,Average_Education_Years,Central & Southern Asia
9.163,9.167,9.647,2055,Average_Education_Years,Central & Southern Asia
9.225,9.229,9.731,2056,Average_Education_Years,Central & Southern Asia
9.287,9.292,9.815,2057,Average_Education_Years,Central & Southern Asia
9.349,9.353,9.899,2058,Average_Education_Years,Central & Southern Asia
9.41,9.415,9.983,2059,Average_Education_Years,Central & Southern Asia
9.472,9.477,10.07,2060,Average_Education_Years,Central & Southern Asia
8.82,8.82,8.82,2020,Average_Education_Years,East & Southeast Asia
8.896,8.896,8.896,2021,Average_Education_Years,East & Southeast Asia
8.973,8.973,8.973,2022,Average_Education_Years,East & Southeast Asia
9.046,9.046,9.046,2023,Average_Education_Years,East & Southeast Asia
9.118,9.118,9.118,2024,Average_Education_Years,East & Southeast Asia
9.188,9.188,9.189,2025,Average_Education_Years,East & Southeast Asia
9.258,9.258,9.26,2026,Average_Education_Years,East & Southeast Asia
9.326,9.326,9.331,2027,Average_Education_Years,East & Southeast Asia
9.394,9.394,9.403,2028,Average_Education_Years,East & Southeast Asia
9.462,9.462,9.475,2029,Average_Education_Years,East & Southeast Asia
9.53,9.53,9.549,2030,Average_Education_Years,East & Southeast Asia
9.599,9.599,9.624,2031,Average_Education_Years,East & Southeast Asia
9.667,9.667,9.7,2032,Average_Education_Years,East & Southeast Asia
