BaseCase,RA,RASDG,Year,indicator,Country/Region
414.7,414.7,414.7,2020,CO2_in_atmosphere,World
417.9,417.9,417.9,2021,CO2_in_atmosphere,World
421.2,421.2,421.2,2022,CO2_in_atmosphere,World
424.5,424.5,424.5,2023,CO2_in_atmosphere,World
427.9,427.9,427.9,2024,CO2_in_atmosphere,World
431.4,431.4,431.4,2025,CO2_in_atmosphere,World
435.0,435.0,434.9,2026,CO2_in_atmosphere,World
438.5,438.5,438.2,2027,CO2_in_atmosphere,World
442.1,442.0,441.4,2028,CO2_in_atmosphere,World
445.8,445.4,444.4,2029,CO2_in_atmosphere,World
449.4,448.6,447.1,2030,CO2_in_atmosphere,World
453.1,451.7,449.6,2031,CO2_in_atmosphere,World
456.8,454.7,451.9,2032,CO2_in_atmosphere,World
460.4,457.4,453.9,2033,CO2_in_atmosphere,World
464.1,460.0,455.6,2034,CO2_in_atmosphere,World
467.9,462.5,457.1,2035,CO2_in_atmosphere,World
471.6,464.8,458.3,2036,CO2_in_atmosphere,World
475.4,466.9,459.3,2037,CO2_in_atmosphere,World
479.2,468.9,459.9,2038,CO2_in_atmosphere,World
483.0,470.7,460.4,2039,CO2_in_atmosphere,World
486.8,472.3,460.4,2040,CO2_in_atmosphere,World
490.5,473.6,460.2,2041,CO2_in_atmosphere,World
494.3,474.8,459.8,2042,CO2_in_atmosphere,World
498.0,475.8,459.3,2043,CO2_in_atmosphere,World
501.7,476.5,458.7,2044,CO2_in_atmosphere,World
505.4,477.1,458.0,2045,CO2_in_atmosphere,World
509.0,477.6,457.2,2046,CO2_in_atmosphere,World
512.6,477.8,456.4,2047,CO2_in_atmosphere,World
516.2,478.0,455.4,2048,CO2_in_atmosphere,World
519.7,478.0,454.5,2049,CO2_in_atmosphere,World
523.2,477.9,453.5,2050,CO2_in_atmosphere,World
526.6,477.7,452.5,2051,CO2_in_atmosphere,World
530.0,477.5,451.4,2052,CO2_in_atmosphere,World
533.3,477.1,450.4,2053,CO2_in_atmosphere,World
536.5,476.6,449.4,2054,CO2_in_atmosphere,World
539.7,476.1,448.3,2055,CO2_in_atmosphere,World
542.8,475.5,447.2,2056,CO2_in_atmosphere,World
545.8,474.8,446.2,2057,CO2_in_atmosphere,World
548.7,474.0,445.1,2058,CO2_in_atmosphere,World
551.5,473.2,444.1,2059,CO2_in_atmosphere,World
554.2,472.3,443.1,2060,CO2_in_atmosphere,World
