BaseCase,RA,RASDG,Year,indicator,Country/Region
3.27408,3.27408,3.27408,2020,Energy_Demand_Relative_to_GDP,Central & Southern Asia
3.19233,3.19235,3.19235,2021,Energy_Demand_Relative_to_GDP,Central & Southern Asia
3.14275,3.14279,3.14279,2022,Energy_Demand_Relative_to_GDP,Central & Southern Asia
3.07884,3.07894,3.07894,2023,Energy_Demand_Relative_to_GDP,Central & Southern Asia
3.03272,3.03288,3.03288,2024,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.97554,2.97577,2.97577,2025,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.91763,2.91963,2.91857,2026,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.87387,2.87809,2.86573,2027,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.81776,2.825,2.80862,2028,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.76743,2.77825,2.75513,2029,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.71672,2.73182,2.70196,2030,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.66691,2.68284,2.64712,2031,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.61806,2.63388,2.59277,2032,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.57034,2.58577,2.53821,2033,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.52395,2.53872,2.48394,2034,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.47866,2.49198,2.42936,2035,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.43418,2.44462,2.3739,2036,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.3885,2.39749,2.31836,2037,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.34253,2.33827,2.25117,2038,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.29758,2.27898,2.18551,2039,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.25352,2.21929,2.11981,2040,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.21027,2.16138,2.05628,2041,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.16817,2.1038,1.99296,2042,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.12775,2.04623,1.93016,2043,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.08908,1.98856,1.86781,2044,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.05109,1.93079,1.80598,2045,Energy_Demand_Relative_to_GDP,Central & Southern Asia
2.01451,1.87294,1.74425,2046,Energy_Demand_Relative_to_GDP,Central & Southern Asia
1.97833,1.81519,1.68328,2047,Energy_Demand_Relative_to_GDP,Central & Southern Asia
1.94203,1.77597,1.63976,2048,Energy_Demand_Relative_to_GDP,Central & Southern Asia
