BaseCase,RA,RASDG,Year,indicator,Country/Region
6.431,6.431,6.431,2020,GDP_per_capita_(PPP),Central & Southern Asia
6.751,6.751,6.751,2021,GDP_per_capita_(PPP),Central & Southern Asia
6.911,6.911,6.911,2022,GDP_per_capita_(PPP),Central & Southern Asia
7.123,7.123,7.123,2023,GDP_per_capita_(PPP),Central & Southern Asia
7.321,7.321,7.321,2024,GDP_per_capita_(PPP),Central & Southern Asia
7.534,7.534,7.529,2025,GDP_per_capita_(PPP),Central & Southern Asia
7.752,7.752,7.744,2026,GDP_per_capita_(PPP),Central & Southern Asia
7.931,7.93,7.95,2027,GDP_per_capita_(PPP),Central & Southern Asia
8.14,8.138,8.18,2028,GDP_per_capita_(PPP),Central & Southern Asia
8.35,8.35,8.42,2029,GDP_per_capita_(PPP),Central & Southern Asia
8.57,8.572,8.675,2030,GDP_per_capita_(PPP),Central & Southern Asia
8.797,8.803,8.94,2031,GDP_per_capita_(PPP),Central & Southern Asia
9.032,9.044,9.214,2032,GDP_per_capita_(PPP),Central & Southern Asia
9.272,9.291,9.499,2033,GDP_per_capita_(PPP),Central & Southern Asia
9.518,9.542,9.795,2034,GDP_per_capita_(PPP),Central & Southern Asia
9.767,9.798,10.1,2035,GDP_per_capita_(PPP),Central & Southern Asia
10.02,10.06,10.42,2036,GDP_per_capita_(PPP),Central & Southern Asia
10.28,10.32,10.74,2037,GDP_per_capita_(PPP),Central & Southern Asia
10.54,10.59,11.08,2038,GDP_per_capita_(PPP),Central & Southern Asia
10.81,10.86,11.42,2039,GDP_per_capita_(PPP),Central & Southern Asia
11.08,11.14,11.78,2040,GDP_per_capita_(PPP),Central & Southern Asia
11.37,11.42,12.14,2041,GDP_per_capita_(PPP),Central & Southern Asia
11.65,11.71,12.51,2042,GDP_per_capita_(PPP),Central & Southern Asia
11.94,12,12.89,2043,GDP_per_capita_(PPP),Central & Southern Asia
12.24,12.29,13.28,2044,GDP_per_capita_(PPP),Central & Southern Asia
12.53,12.59,13.67,2045,GDP_per_capita_(PPP),Central & Southern Asia
12.83,12.89,14.08,2046,GDP_per_capita_(PPP),Central & Southern Asia
13.12,13.2,14.49,2047,GDP_per_capita_(PPP),Central & Southern Asia
13.43,13.51,14.91,2048,GDP_per_capita_(PPP),Central & Southern Asia
13.72,13.82,15.33,2049,GDP_per_capita_(PPP),Central & Southern Asia
14.03,14.13,15.77,2050,GDP_per_capita_(PPP),Central & Southern Asia
14.34,14.44,16.21,2051,GDP_per_capita_(PPP),Central & Southern Asia
14.65,14.75,16.67,2052,GDP_per_capita_(PPP),Central & Southern Asia
14.96,15.07,17.14,2053,GDP_per_capita_(PPP),Central & Southern Asia
15.28,15.39,17.61,2054,GDP_per_capita_(PPP),Central & Southern Asia
15.61,15.71,18.1,2055,GDP_per_capita_(PPP),Central & Southern Asia
15.94,16.04,18.6,2056,GDP_per_capita_(PPP),Central & Southern Asia
16.29,16.38,19.11,2057,GDP_per_capita_(PPP),Central & Southern Asia
16.64,16.72,19.66,2058,GDP_per_capita_(PPP),Central & Southern Asia
16.99,17.09,20.21,2059,GDP_per_capita_(PPP),Central & Southern Asia
17.35,17.45,20.79,2060,GDP_per_capita_(PPP),Central & Southern Asia
16.67,16.67,16.67,2020,GDP_per_capita_(PPP),East & Southeast Asia
17.37,17.37,17.37,2021,GDP_per_capita_(PPP),East & Southeast Asia
