BaseCase,RA,RASDG,Year,indicator,Country/Region
4.015,4.015,4.015,2020,Renewable_Share,Central & Southern Asia
4.154,4.154,4.154,2021,Renewable_Share,Central & Southern Asia
4.358,4.358,4.358,2022,Renewable_Share,Central & Southern Asia
4.591,4.591,4.591,2023,Renewable_Share,Central & Southern Asia
4.871,4.871,4.871,2024,Renewable_Share,Central & Southern Asia
5.194,5.194,5.194,2025,Renewable_Share,Central & Southern Asia
5.538,5.624,5.624,2026,Renewable_Share,Central & Southern Asia
5.912,6.244,6.242,2027,Renewable_Share,Central & Southern Asia
6.332,7.108,7.099,2028,Renewable_Share,Central & Southern Asia
6.797,8.231,8.219,2029,Renewable_Share,Central & Southern Asia
7.309,9.674,9.669,2030,Renewable_Share,Central & Southern Asia
7.878,11.29,11.31,2031,Renewable_Share,Central & Southern Asia
8.515,13.14,13.21,2032,Renewable_Share,Central & Southern Asia
9.234,15.27,15.42,2033,Renewable_Share,Central & Southern Asia
10.04,17.75,18.01,2034,Renewable_Share,Central & Southern Asia
10.96,20.6,21.02,2035,Renewable_Share,Central & Southern Asia
12,23.81,24.42,2036,Renewable_Share,Central & Southern Asia
13.15,27.36,28.18,2037,Renewable_Share,Central & Southern Asia
14.4,31.14,32.16,2038,Renewable_Share,Central & Southern Asia
15.76,35.01,36.2,2039,Renewable_Share,Central & Southern Asia
17.14,38.83,40.14,2040,Renewable_Share,Central & Southern Asia
18.54,42.52,43.93,2041,Renewable_Share,Central & Southern Asia
19.99,46.14,47.62,2042,Renewable_Share,Central & Southern Asia
21.45,49.69,51.23,2043,Renewable_Share,Central & Southern Asia
23.01,53.2,54.78,2044,Renewable_Share,Central & Southern Asia
24.61,56.66,58.27,2045,Renewable_Share,Central & Southern Asia
26.35,60.03,61.66,2046,Renewable_Share,Central & Southern Asia
28.17,63.27,64.91,2047,Renewable_Share,Central & Southern Asia
31.68,66.37,67.96,2048,Renewable_Share,Central & Southern Asia
33.96,69.33,70.94,2049,Renewable_Share,Central & Southern Asia
37.22,72.17,73.74,2050,Renewable_Share,Central & Southern Asia
40.12,74.71,76.29,2051,Renewable_Share,Central & Southern Asia
42.5,77.12,78.64,2052,Renewable_Share,Central & Southern Asia
44.53,79.36,80.84,2053,Renewable_Share,Central & Southern Asia
