BaseCase,RA,RASDG,Year,indicator,Country/Region
0.953,0.953,0.953,2020,Temperature_Change,Central & Southern Asia
0.999,0.999,0.999,2021,Temperature_Change,Central & Southern Asia
1.046,1.046,1.046,2022,Temperature_Change,Central & Southern Asia
1.094,1.094,1.094,2023,Temperature_Change,Central & Southern Asia
1.143,1.143,1.143,2024,Temperature_Change,Central & Southern Asia
1.191,1.191,1.191,2025,Temperature_Change,Central & Southern Asia
1.241,1.241,1.239,2026,Temperature_Change,Central & Southern Asia
1.29,1.29,1.286,2027,Temperature_Change,Central & Southern Asia
1.34,1.338,1.329,2028,Temperature_Change,Central & Southern Asia
1.389,1.384,1.37,2029,Temperature_Change,Central & Southern Asia
1.438,1.428,1.407,2030,Temperature_Change,Central & Southern Asia
1.487,1.469,1.441,2031,Temperature_Change,Central & Southern Asia
1.536,1.508,1.471,2032,Temperature_Change,Central & Southern Asia
1.585,1.545,1.498,2033,Temperature_Change,Central & Southern Asia
1.633,1.579,1.521,2034,Temperature_Change,Central & Southern Asia
1.681,1.611,1.54,2035,Temperature_Change,Central & Southern Asia
1.729,1.641,1.556,2036,Temperature_Change,Central & Southern Asia
1.778,1.669,1.569,2037,Temperature_Change,Central & Southern Asia
1.826,1.694,1.578,2038,Temperature_Change,Central & Southern Asia
1.873,1.717,1.583,2039,Temperature_Change,Central & Southern Asia
1.921,1.738,1.585,2040,Temperature_Change,Central & Southern Asia
1.967,1.755,1.582,2041,Temperature_Change,Central & Southern Asia
2.013,1.77,1.577,2042,Temperature_Change,Central & Southern Asia
2.058,1.782,1.57,2043,Temperature_Change,Central & Southern Asia
2.103,1.792,1.562,2044,Temperature_Change,Central & Southern Asia
2.147,1.8,1.553,2045,Temperature_Change,Central & Southern Asia
2.19,1.805,1.542,2046,Temperature_Change,Central & Southern Asia
2.233,1.809,1.531,2047,Temperature_Change,Central & Southern Asia
2.275,1.811,1.519,2048,Temperature_Change,Central & Southern Asia
2.316,1.811,1.506,2049,Temperature_Change,Central & Southern Asia
2.356,1.81,1.493,2050,Temperature_Change,Central & Southern Asia
2.396,1.807,1.479,2051,Temperature_Change,Central & Southern Asia
2.434,1.804,1.465,2052,Temperature_Change,Central & Southern Asia
2.472,1.799,1.451,2053,Temperature_Change,Central & Southern Asia
2.509,1.793,1.437,2054,Temperature_Change,Central & Southern Asia
2.544,1.786,1.423,2055,Temperature_Change,Central & Southern Asia
2.578,1.779,1.409,2056,Temperature_Change,Central & Southern Asia
2.611,1.77,1.395,2057,Temperature_Change,Central & Southern Asia
2.643,1.76,1.38,2058,Temperature_Change,Central & Southern Asia
2.674,1.749,1.366,2059,Temperature_Change,Central & Southern Asia
2.704,1.738,1.353,2060,Temperature_Change,Central & Southern Asia
0.861,0.861,0.861,2020,Temperature_Change,East & Southeast Asia
0.903,0.903,0.903,2021,Temperature_Change,East & Southeast Asia
0.945,0.945,0.945,2022,Temperature_Change,East & Southeast Asia
0.989,0.989,0.989,2023,Temperature_Change,East & Southeast Asia
1.033,1.033,1.033,2024,Temperature_Change,East & Southeast Asia
1.077,1.077,1.077,2025,Temperature_Change,East & Southeast Asia
1.121,1.121,1.12,2026,Temperature_Change,East & Southeast Asia
1.166,1.166,1.162,2027,Temperature_Change,East & Southeast Asia
1.211,1.209,1.202,2028,Temperature_Change,East & Southeast Asia
1.256,1.251,1.239,2029,Temperature_Change,East & Southeast Asia
1.3,1.29,1.272,2030,Temperature_Change,East & Southeast Asia
1.344,1.328,1.303,2031,Temperature_Change,East & Southeast Asia
1.388,1.363,1.33,2032,Temperature_Change,East & Southeast Asia
1.432,1.396,1.354,2033,Temperature_Change,East & Southeast Asia
1.476,1.427,1.375,2034,Temperature_Change,East & Southeast Asia
1.52,1.456,1.392,2035,Temperature_Change,East & Southeast Asia
1.563,1.483,1.407,2036,Temperature_Change,East & Southeast Asia
1.607,1.509,1.418,2037,Temperature_Change,East & Southeast Asia
1.65,1.532,1.426,2038,Temperature_Change,East & Southeast Asia
1.693,1.552,1.431,2039,Temperature_Change,East & Southeast Asia
1.736,1.571,1.432,2040,Temperature_Change,East & Southeast Asia
1.778,1.587,1.429,2041,Temperature_Change,East & Southeast Asia
1.82,1.6,1.425,2042,Temperature_Change,East & Southeast Asia
1.86,1.611,1.419,2043,Temperature_Change,East & Southeast Asia
1.901,1.62,1.412,2044,Temperature_Change,East & Southeast Asia
1.94,1.627,1.403,2045,Temperature_Change,East & Southeast Asia
1.98,1.632,1.394,2046,Temperature_Change,East & Southeast Asia
2.018,1.635,1.384,2047,Temperature_Change,East & Southeast Asia
2.056,1.636,1.373,2048,Temperature_Change,East & Southeast Asia
2.093,1.637,1.361,2049,Temperature_Change,East & Southeast Asia
2.13,1.636,1.349,2050,Temperature_Change,East & Southeast Asia
2.165,1.634,1.337,2051,Temperature_Change,East & Southeast Asia
2.2,1.63,1.325,2052,Temperature_Change,East & Southeast Asia
2.234,1.626,1.312,2053,Temperature_Change,East & Southeast Asia
2.267,1.621,1.299,2054,Temperature_Change,East & Southeast Asia
2.299,1.615,1.286,2055,Temperature_Change,East & Southeast Asia
2.33,1.608,1.273,2056,Temperature_Change,East & Southeast Asia
2.36,1.6,1.26,2057,Temperature_Change,East & Southeast Asia
2.389,1.591,1.248,2058,Temperature_Change,East & Southeast Asia
2.417,1.581,1.235,2059,Temperature_Change,East & Southeast Asia
2.444,1.571,1.223,2060,Temperature_Change,East & Southeast Asia
1.062,1.062,1.062,2020,Temperature_Change,Europe & North America
1.113,1.113,1.113,2021,Temperature_Change,Europe & North America
1.166,1.166,1.166,2022,Temperature_Change,Europe & North America
1.22,1.22,1.22,2023,Temperature_Change,Europe & North America
1.274,1.274,1.274,2024,Temperature_Change,Europe & North America
1.328,1.328,1.328,2025,Temperature_Change,Europe & North America
1.383,1.383,1.381,2026,Temperature_Change,Europe & North America
1.438,1.438,1.433,2027,Temperature_Change,Europe & North America
1.493,1.491,1.482,2028,Temperature_Change,Europe & North America
1.548,1.542,1.527,2029,Temperature_Change,Europe & North America
1.603,1.591,1.569,2030,Temperature_Change,Europe & North America
1.658,1.638,1.606,2031,Temperature_Change,Europe & North America
1.712,1.681,1.64,2032,Temperature_Change,Europe & North America
1.766,1.722,1.669,2033,Temperature_Change,Europe & North America
1.82,1.76,1.695,2034,Temperature_Change,Europe & North America
1.874,1.796,1.717,2035,Temperature_Change,Europe & North America
1.928,1.829,1.735,2036,Temperature_Change,Europe & North America
1.981,1.86,1.749,2037,Temperature_Change,Europe & North America
2.035,1.889,1.759,2038,Temperature_Change,Europe & North America
2.088,1.914,1.765,2039,Temperature_Change,Europe & North America
2.141,1.937,1.766,2040,Temperature_Change,Europe & North America
2.193,1.957,1.763,2041,Temperature_Change,Europe & North America
2.244,1.973,1.758,2042,Temperature_Change,Europe & North America
2.294,1.987,1.75,2043,Temperature_Change,Europe & North America
2.344,1.998,1.741,2044,Temperature_Change,Europe & North America
2.393,2.006,1.731,2045,Temperature_Change,Europe & North America
2.441,2.012,1.719,2046,Temperature_Change,Europe & North America
2.489,2.016,1.706,2047,Temperature_Change,Europe & North America
2.536,2.018,1.693,2048,Temperature_Change,Europe & North America
2.582,2.019,1.678,2049,Temperature_Change,Europe & North America
2.626,2.017,1.664,2050,Temperature_Change,Europe & North America
2.671,2.015,1.649,2051,Temperature_Change,Europe & North America
2.714,2.011,1.633,2052,Temperature_Change,Europe & North America
2.755,2.005,1.618,2053,Temperature_Change,Europe & North America
2.796,1.999,1.602,2054,Temperature_Change,Europe & North America
2.836,1.991,1.586,2055,Temperature_Change,Europe & North America
2.874,1.982,1.57,2056,Temperature_Change,Europe & North America
2.911,1.973,1.554,2057,Temperature_Change,Europe & North America
2.946,1.962,1.539,2058,Temperature_Change,Europe & North America
2.981,1.95,1.523,2059,Temperature_Change,Europe & North America
3.014,1.937,1.508,2060,Temperature_Change,Europe & North America
0.929,0.929,0.929,2020,Temperature_Change,High Income Countries
0.974,0.974,0.974,2021,Temperature_Change,High Income Countries
1.019,1.019,1.019,2022,Temperature_Change,High Income Countries
1.066,1.066,1.066,2023,Temperature_Change,High Income Countries
1.114,1.114,1.114,2024,Temperature_Change,High Income Countries
1.161,1.161,1.161,2025,Temperature_Change,High Income Countries
1.209,1.209,1.208,2026,Temperature_Change,High Income Countries
1.257,1.257,1.253,2027,Temperature_Change,High Income Countries
1.306,1.304,1.296,2028,Temperature_Change,High Income Countries
1.354,1.349,1.335,2029,Temperature_Change,High Income Countries
1.402,1.391,1.372,2030,Temperature_Change,High Income Countries
1.45,1.432,1.405,2031,Temperature_Change,High Income Countries
1.497,1.47,1.434,2032,Temperature_Change,High Income Countries
1.544,1.506,1.46,2033,Temperature_Change,High Income Countries
1.592,1.539,1.482,2034,Temperature_Change,High Income Countries
1.639,1.57,1.501,2035,Temperature_Change,High Income Countries
1.685,1.6,1.517,2036,Temperature_Change,High Income Countries
1.732,1.627,1.529,2037,Temperature_Change,High Income Countries
1.779,1.651,1.538,2038,Temperature_Change,High Income Countries
1.826,1.674,1.543,2039,Temperature_Change,High Income Countries
