BaseCase,RA,RASDG,Year,indicator,Country/Region
53.21,53.21,53.21,2020,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
49.89,49.89,49.89,2021,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
47.06,47.06,47.06,2022,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
44.99,44.99,44.99,2023,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
43.68,43.68,43.68,2024,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
42.49,42.33,41.77,2025,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
41.17,40.88,39.71,2026,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
40.12,39.82,37.6,2027,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
38.99,38.68,35.14,2028,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
37.85,37.57,32.41,2029,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
36.69,36.45,29.57,2030,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
35.53,35.31,27.33,2031,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
34.37,34.17,25,2032,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
33.22,33.05,22.57,2033,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
32.1,31.95,20.04,2034,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
31.02,30.87,17.58,2035,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
29.99,29.83,15.18,2036,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
28.99,28.81,13.05,2037,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
28.01,27.83,11.71,2038,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
27.06,26.86,10.56,2039,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
26.12,25.92,9.495,2040,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
25.2,25,8.497,2041,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
24.29,24.11,7.569,2042,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
23.42,23.23,6.713,2043,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
22.57,22.38,5.928,2044,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
21.75,21.56,5.214,2045,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
20.97,20.76,4.568,2046,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
20.21,20,3.994,2047,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
19.48,19.26,3.45,2048,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
18.78,18.55,2.934,2049,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
18.08,17.86,2.445,2050,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
17.41,17.21,1.986,2051,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
16.77,16.58,1.553,2052,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
16.14,15.97,1.147,2053,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
15.52,15.38,0.765,2054,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
14.94,14.81,0.406,2055,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
14.37,14.25,0.066,2056,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
13.81,13.71,0,2057,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
13.28,13.2,0,2058,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
12.76,12.68,0,2059,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
12.27,12.2,0,2060,Traditional_Cookstove_Use(%ofh),Central & Southern Asia
19.05,19.05,19.05,2020,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
18.1,18.1,18.1,2021,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
17.38,17.38,17.38,2022,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
16.43,16.43,16.43,2023,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
15.63,15.63,15.63,2024,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
14.9,14.74,14.32,2025,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
14.22,13.94,13,2026,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
13.54,13.18,11.48,2027,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
12.84,12.45,9.905,2028,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
12.18,11.77,8.273,2029,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
11.56,11.13,6.512,2030,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
10.97,10.51,4.882,2031,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
10.42,9.928,3.621,2032,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
9.913,9.384,2.712,2033,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
9.449,8.879,1.786,2034,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
9.023,8.414,0.898,2035,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
8.619,7.988,0.517,2036,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
8.259,7.597,0.144,2037,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
7.931,7.242,0,2038,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
7.627,6.906,0,2039,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
7.34,6.592,0,2040,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
7.055,6.329,0,2041,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
6.777,6.061,0,2042,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
6.501,5.802,0,2043,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
6.231,5.544,0,2044,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
5.969,5.298,0,2045,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
5.712,5.058,0,2046,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
5.464,4.85,0,2047,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
5.226,4.635,0,2048,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
4.999,4.437,0,2049,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
4.789,4.251,0,2050,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
4.584,4.079,0,2051,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
4.387,3.91,0,2052,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
4.196,3.758,0,2053,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
4.009,3.6,0,2054,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
3.825,3.457,0,2055,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
3.645,3.306,0,2056,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
3.47,3.172,0,2057,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
3.299,3.03,0,2058,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
3.137,2.902,0,2059,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
2.982,2.77,0,2060,Traditional_Cookstove_Use(%ofh),East & Southeast Asia
0.19,0.19,0.19,2020,Traditional_Cookstove_Use(%ofh),Europe & North America
0.164,0.164,0.164,2021,Traditional_Cookstove_Use(%ofh),Europe & North America
0.165,0.165,0.165,2022,Traditional_Cookstove_Use(%ofh),Europe & North America
0.161,0.161,0.161,2023,Traditional_Cookstove_Use(%ofh),Europe & North America
0.15,0.15,0.15,2024,Traditional_Cookstove_Use(%ofh),Europe & North America
0.137,0.137,0,2025,Traditional_Cookstove_Use(%ofh),Europe & North America
0.127,0.127,0,2026,Traditional_Cookstove_Use(%ofh),Europe & North America
0.119,0.119,0,2027,Traditional_Cookstove_Use(%ofh),Europe & North America
0.112,0.112,0,2028,Traditional_Cookstove_Use(%ofh),Europe & North America
0.105,0.105,0,2029,Traditional_Cookstove_Use(%ofh),Europe & North America
0.099,0.098,0,2030,Traditional_Cookstove_Use(%ofh),Europe & North America
0.093,0.092,0,2031,Traditional_Cookstove_Use(%ofh),Europe & North America
0.087,0.087,0,2032,Traditional_Cookstove_Use(%ofh),Europe & North America
0.082,0.081,0,2033,Traditional_Cookstove_Use(%ofh),Europe & North America
0.078,0.076,0,2034,Traditional_Cookstove_Use(%ofh),Europe & North America
0.073,0.072,0,2035,Traditional_Cookstove_Use(%ofh),Europe & North America
0.069,0.067,0,2036,Traditional_Cookstove_Use(%ofh),Europe & North America
0.065,0.063,0,2037,Traditional_Cookstove_Use(%ofh),Europe & North America
0.061,0.06,0,2038,Traditional_Cookstove_Use(%ofh),Europe & North America
0.058,0.056,0,2039,Traditional_Cookstove_Use(%ofh),Europe & North America
0.054,0.053,0,2040,Traditional_Cookstove_Use(%ofh),Europe & North America
0.051,0.05,0,2041,Traditional_Cookstove_Use(%ofh),Europe & North America
0.048,0.047,0,2042,Traditional_Cookstove_Use(%ofh),Europe & North America
0.045,0.044,0,2043,Traditional_Cookstove_Use(%ofh),Europe & North America
0.042,0.041,0,2044,Traditional_Cookstove_Use(%ofh),Europe & North America
0.04,0.039,0,2045,Traditional_Cookstove_Use(%ofh),Europe & North America
0.037,0.036,0,2046,Traditional_Cookstove_Use(%ofh),Europe & North America
0.035,0.034,0,2047,Traditional_Cookstove_Use(%ofh),Europe & North America
0.033,0.032,0,2048,Traditional_Cookstove_Use(%ofh),Europe & North America
0.031,0.03,0,2049,Traditional_Cookstove_Use(%ofh),Europe & North America
0.029,0.028,0,2050,Traditional_Cookstove_Use(%ofh),Europe & North America
0.028,0.026,0,2051,Traditional_Cookstove_Use(%ofh),Europe & North America
0.026,0.025,0,2052,Traditional_Cookstove_Use(%ofh),Europe & North America
0.024,0.023,0,2053,Traditional_Cookstove_Use(%ofh),Europe & North America
0.023,0.022,0,2054,Traditional_Cookstove_Use(%ofh),Europe & North America
0.021,0.02,0,2055,Traditional_Cookstove_Use(%ofh),Europe & North America
0.02,0.019,0,2056,Traditional_Cookstove_Use(%ofh),Europe & North America
0.018,0.018,0,2057,Traditional_Cookstove_Use(%ofh),Europe & North America
0.017,0.017,0,2058,Traditional_Cookstove_Use(%ofh),Europe & North America
0.016,0.016,0,2059,Traditional_Cookstove_Use(%ofh),Europe & North America
0.015,0.015,0,2060,Traditional_Cookstove_Use(%ofh),Europe & North America
0.154,0.154,0.154,2020,Traditional_Cookstove_Use(%ofh),High Income Countries
0.121,0.121,0.121,2021,Traditional_Cookstove_Use(%ofh),High Income Countries
0.113,0.113,0.113,2022,Traditional_Cookstove_Use(%ofh),High Income Countries
0.114,0.114,0.114,2023,Traditional_Cookstove_Use(%ofh),High Income Countries
0.109,0.109,0.109,2024,Traditional_Cookstove_Use(%ofh),High Income Countries
0.1,0.1,0,2025,Traditional_Cookstove_Use(%ofh),High Income Countries
0.094,0.093,0,2026,Traditional_Cookstove_Use(%ofh),High Income Countries
0.087,0.086,0,2027,Traditional_Cookstove_Use(%ofh),High Income Countries
0.081,0.08,0,2028,Traditional_Cookstove_Use(%ofh),High Income Countries
0.075,0.074,0,2029,Traditional_Cookstove_Use(%ofh),High Income Countries
0.07,0.068,0,2030,Traditional_Cookstove_Use(%ofh),High Income Countries
0.065,0.064,0,2031,Traditional_Cookstove_Use(%ofh),High Income Countries
0.061,0.06,0,2032,Traditional_Cookstove_Use(%ofh),High Income Countries
0.057,0.056,0,2033,Traditional_Cookstove_Use(%ofh),High Income Countries
0.054,0.052,0,2034,Traditional_Cookstove_Use(%ofh),High Income Countries
0.051,0.049,0,2035,Traditional_Cookstove_Use(%ofh),High Income Countries
0.048,0.046,0,2036,Traditional_Cookstove_Use(%ofh),High Income Countries
0.045,0.043,0,2037,Traditional_Cookstove_Use(%ofh),High Income Countries
0.042,0.041,0,2038,Traditional_Cookstove_Use(%ofh),High Income Countries
0.04,0.038,0,2039,Traditional_Cookstove_Use(%ofh),High Income Countries
0.038,0.036,0,2040,Traditional_Cookstove_Use(%ofh),High Income Countries
0.035,0.034,0,2041,Traditional_Cookstove_Use(%ofh),High Income Countries
0.033,0.032,0,2042,Traditional_Cookstove_Use(%ofh),High Income Countries
0.031,0.03,0,2043,Traditional_Cookstove_Use(%ofh),High Income Countries
0.029,0.028,0,2044,Traditional_Cookstove_Use(%ofh),High Income Countries
0.027,0.026,0,2045,Traditional_Cookstove_Use(%ofh),High Income Countries
0.026,0.025,0,2046,Traditional_Cookstove_Use(%ofh),High Income Countries
0.024,0.023,0,2047,Traditional_Cookstove_Use(%ofh),High Income Countries
0.023,0.021,0,2048,Traditional_Cookstove_Use(%ofh),High Income Countries
0.021,0.02,0,2049,Traditional_Cookstove_Use(%ofh),High Income Countries
0.02,0.019,0,2050,Traditional_Cookstove_Use(%ofh),High Income Countries
0.018,0.017,0,2051,Traditional_Cookstove_Use(%ofh),High Income Countries
0.017,0.016,0,2052,Traditional_Cookstove_Use(%ofh),High Income Countries
0.016,0.015,0,2053,Traditional_Cookstove_Use(%ofh),High Income Countries
0.015,0.014,0,2054,Traditional_Cookstove_Use(%ofh),High Income Countries
0.014,0.013,0,2055,Traditional_Cookstove_Use(%ofh),High Income Countries
0.013,0.012,0,2056,Traditional_Cookstove_Use(%ofh),High Income Countries
0.012,0.011,0,2057,Traditional_Cookstove_Use(%ofh),High Income Countries
0.011,0.011,0,2058,Traditional_Cookstove_Use(%ofh),High Income Countries
0.01,0.01,0,2059,Traditional_Cookstove_Use(%ofh),High Income Countries
0.009,0.009,0,2060,Traditional_Cookstove_Use(%ofh),High Income Countries
8.123,8.123,8.123,2020,Traditional_Cookstove_Use(%ofh),Latin America & the Caribbean
7.375,7.375,7.375,2021,Traditional_Cookstove_Use(%ofh),Latin America & the Caribbean
7.184,7.184,7.184,2022,Traditional_Cookstove_Use(%ofh),Latin America & the Caribbean
7.162,7.162,7.162,2023,Traditional_Cookstove_Use(%ofh),Latin America & the Caribbean
7.03,7.03,7.03,2024,Traditional_Cookstove_Use(%ofh),Latin America & the Caribbean
6.907,6.851,5.29,2025,Traditional_Cookstove_Use(%ofh),Latin America & the Caribbean
