BaseCase,RA,RASDG,Year,indicator,Country/Region
1088.178924,1088.178924,1088.178924,2020,Traditional_Cookstove_Use,Central & Southern Asia
1030.992479,1030.992479,1030.992479,2021,Traditional_Cookstove_Use,Central & Southern Asia
983.469924,983.469924,983.469924,2022,Traditional_Cookstove_Use,Central & Southern Asia
950.15142,950.15142,950.15142,2023,Traditional_Cookstove_Use,Central & Southern Asia
931.89832,931.89832,931.89832,2024,Traditional_Cookstove_Use,Central & Southern Asia
916.2417,912.61302,900.51742,2025,Traditional_Cookstove_Use,Central & Southern Asia
896.094702,890.128692,864.476298,2026,Traditional_Cookstove_Use,Central & Southern Asia
881.659647,875.182672,826.288432,2027,Traditional_Cookstove_Use,Central & Southern Asia
864.929272,857.946122,779.306034,2028,Traditional_Cookstove_Use,Central & Southern Asia
847.203327,840.86948,724.918351,2029,Traditional_Cookstove_Use,Central & Southern Asia
828.348576,822.645138,666.500674,2030,Traditional_Cookstove_Use,Central & Southern Asia
808.64641,803.558448,621.3614,2031,Traditional_Cookstove_Use,Central & Southern Asia
788.328734,783.285327,572.662101,2032,Traditional_Cookstove_Use,Central & Southern Asia
767.704805,763.261684,520.7400702,2033,Traditional_Cookstove_Use,Central & Southern Asia
747.195324,743.340819,465.7920528,2034,Traditional_Cookstove_Use,Central & Southern Asia
727.32528,723.50565,411.4650024,2035,Traditional_Cookstove_Use,Central & Southern Asia
707.617536,703.831893,357.7006747,2036,Traditional_Cookstove_Use,Central & Southern Asia
688.720165,684.432413,309.6737895,2037,Traditional_Cookstove_Use,Central & Southern Asia
669.664138,665.413168,279.6004326,2038,Traditional_Cookstove_Use,Central & Southern Asia
651.056603,646.31482,253.8324432,2039,Traditional_Cookstove_Use,Central & Southern Asia
632.396148,627.694122,229.4954172,2040,Traditional_Cookstove_Use,Central & Southern Asia
613.67791,609.011579,206.5361402,2041,Traditional_Cookstove_Use,Central & Southern Asia
594.869499,590.23865,185.0094323,2042,Traditional_Cookstove_Use,Central & Southern Asia
576.440436,571.84283,164.9248229,2043,Traditional_Cookstove_Use,Central & Southern Asia
558.85074,553.780304,146.345937,2044,Traditional_Cookstove_Use,Central & Southern Asia
541.055918,536.52261,129.3374304,2045,Traditional_Cookstove_Use,Central & Southern Asia
524.050722,519.049993,113.799258,2046,Traditional_Cookstove_Use,Central & Southern Asia
507.32773,501.867424,99.9270325,2047,Traditional_Cookstove_Use,Central & Southern Asia
490.858368,485.43561,86.6441136,2048,Traditional_Cookstove_Use,Central & Southern Asia
475.2841808,469.3137438,73.9782728,2049,Traditional_Cookstove_Use,Central & Southern Asia
459.1981152,453.7036266,61.8681784,2050,Traditional_Cookstove_Use,Central & Southern Asia
443.8279768,438.6127524,50.4038606,2051,Traditional_Cookstove_Use,Central & Southern Asia
428.7181492,423.9212208,39.5350254,2052,Traditional_Cookstove_Use,Central & Southern Asia
413.8599702,409.570689,29.27922672,2053,Traditional_Cookstove_Use,Central & Southern Asia
399.1215836,395.474365,19.56354857,2054,Traditional_Cookstove_Use,Central & Southern Asia
384.985881,381.69264,10.4109366,2055,Traditional_Cookstove_Use,Central & Southern Asia
371.1909045,368.2464312,1.70311372,2056,Traditional_Cookstove_Use,Central & Southern Asia
357.618464,355.0173424,0,2057,Traditional_Cookstove_Use,Central & Southern Asia
344.3780032,342.2955094,0,2058,Traditional_Cookstove_Use,Central & Southern Asia
331.4786565,329.3689518,0,2059,Traditional_Cookstove_Use,Central & Southern Asia
318.9680682,317.1871978,0,2060,Traditional_Cookstove_Use,Central & Southern Asia
439.719566,439.719566,439.719566,2020,Traditional_Cookstove_Use,East & Southeast Asia
419.18514,419.18514,419.18514,2021,Traditional_Cookstove_Use,East & Southeast Asia
403.125348,403.125348,403.125348,2022,Traditional_Cookstove_Use,East & Southeast Asia
381.90778,381.90778,381.90778,2023,Traditional_Cookstove_Use,East & Southeast Asia
363.9361676,363.9361676,363.9361676,2024,Traditional_Cookstove_Use,East & Southeast Asia
347.4886396,343.5626328,333.895767,2025,Traditional_Cookstove_Use,East & Southeast Asia
331.9508766,325.3797606,303.4038593,2026,Traditional_Cookstove_Use,East & Southeast Asia
316.269959,307.9631528,268.1522286,2027,Traditional_Cookstove_Use,East & Southeast Asia
300.2292436,291.0197576,231.5372715,2028,Traditional_Cookstove_Use,East & Southeast Asia
284.9286987,275.3298512,193.4556887,2029,Traditional_Cookstove_Use,East & Southeast Asia
270.3441048,260.2579371,152.3123806,2030,Traditional_Cookstove_Use,East & Southeast Asia
256.50219,245.8344168,114.1728476,2031,Traditional_Cookstove_Use,East & Southeast Asia
243.738137,232.1580378,84.658746,2032,Traditional_Cookstove_Use,East & Southeast Asia
231.7049748,219.3241456,63.3662757,2033,Traditional_Cookstove_Use,East & Southeast Asia
220.681044,207.3712557,41.7077379,2034,Traditional_Cookstove_Use,East & Southeast Asia
210.5335176,196.3277169,20.95147626,2035,Traditional_Cookstove_Use,East & Southeast Asia
200.8492864,186.156285,12.03506512,2036,Traditional_Cookstove_Use,East & Southeast Asia
192.2125442,176.781843,3.3531714,2037,Traditional_Cookstove_Use,East & Southeast Asia
184.2414672,168.2703932,0,2038,Traditional_Cookstove_Use,East & Southeast Asia
176.855572,160.156545,0,2039,Traditional_Cookstove_Use,East & Southeast Asia
169.8461859,152.5598361,0,2040,Traditional_Cookstove_Use,East & Southeast Asia
