Year,BaseCase_HIC,RA_HIC,RASDG_HIC,BaseCase_LIC,RA_LIC,RASDG_LIC,BaseCase_LMIC,RA_LMIC,RASDG_LMIC,BaseCase_UMIC,RA_UMIC,RASDG_UMIC,BaseCase_World,RA_World,RASDG_World
2020,2928,2928,2928,394.7,394.7,394.7,2967,2967,2967,5687,5687,5687,11977,11977,11977
2021,2974,2974,2974,405,405,405,3064,3064,3064,5850,5850,5850,12293,12293,12293
2022,2998,2998,2998,417,417,417,3151,3151,3151,6015,6015,6015,12581,12581,12581
2023,3020,3020,3020,429.6,429.6,429.6,3228,3228,3228,6154,6154,6154,12832,12832,12832
2024,3040,3040,3040,440.5,440.5,440.5,3299,3299,3299,6272,6272,6272,13051,13051,13051
2025,3063,3063,3094,451.6,451.6,459.9,3369,3369,3402,6392,6392,6471,13276,13276,13428
2026,3082,3082,3123,462.4,462.4,479.5,3435,3435,3487,6506,6506,6638,13485,13485,13728
2027,3095,3095,3141,472.4,472.4,495,3494,3494,3559,6608,6608,6777,13670,13670,13972
2028,3104,3104,3157,482.2,482.2,508.8,3548,3548,3626,6698,6698,6904,13832,13832,14197
2029,3109,3109,3169,491.9,491.9,522.3,3602,3602,3691,6777,6777,7013,13981,13979,14395
2030,3114,3114,3176,501.1,501.1,534.9,3655,3654,3751,6849,6846,7105,14118,14115,14567
2031,3117,3117,3177,510.1,510.1,547.7,3705,3704,3808,6914,6910,7187,14246,14241,14719
2032,3119,3118,3172,519.1,519.1,559.8,3755,3753,3860,6973,6968,7259,14366,14358,14850
2033,3120,3118,3162,528.3,528.6,571.7,3802,3801,3907,7027,7021,7320,14477,14468,14961
2034,3120,3118,3148,537.9,538.2,583.1,3849,3847,3950,7076,7071,7372,14583,14574,15053
2035,3121,3118,3131,547.9,548.4,594.4,3893,3892,3991,7123,7117,7413,14685,14675,15129
2036,3120,3117,3111,557.9,558.6,605.7,3938,3936,4027,7166,7161,7445,14782,14773,15189
2037,3119,3115,3088,568.3,569.1,617,3980,3979,4062,7208,7203,7469,14875,14867,15236
2038,3118,3114,3062,579.1,580.3,628.4,4023,4022,4096,7248,7244,7482,14968,14961,15268
2039,3117,3113,3040,590.2,591.8,640.6,4066,4066,4136,7286,7283,7491,15059,15054,15308
2040,3115,3111,2987,601.2,603.6,652.5,4110,4111,4172,7322,7321,7428,15149,15147,15239
2041,3113,3108,2935,612.7,615.5,664.3,4155,4158,4207,7358,7358,7371,15239,15239,15176
2042,3110,3104,2887,624.5,627.7,677.2,4201,4204,4247,7393,7394,7322,15328,15331,15133
2043,3105,3099,2842,636.6,640.5,691,4248,4252,4290,7426,7430,7280,15415,15422,15102
2044,3100,3094,2798,649.2,653.7,705.8,4293,4299,4336,7458,7464,7247,15500,15511,15086
2045,3094,3088,2756,662.2,667.5,721.7,4338,4345,4385,7490,7499,7219,15584,15599,15082
2046,3089,3082,2717,675.7,681.8,738.9,4382,4390,4437,7517,7528,7196,15663,15682,15089
2047,3085,3078,2680,690,696.8,757,4425,4435,4490,7544,7557,7178,15743,15767,15105
2048,3080,3072,2646,704.7,712.5,776.4,4468,4480,4546,7572,7588,7164,15824,15852,15132
2049,3076,3067,2615,720.1,728.7,796.8,4510,4523,4602,7599,7618,7151,15905,15937,15165
2050,3071,3062,2585,736.1,745.5,818.4,4551,4567,4662,7625,7648,7141,15984,16022,15206
2051,3067,3056,2558,752.8,762.9,841.1,4591,4611,4723,7652,7676,7132,16063,16106,15254
2052,3063,3050,2531,770.1,781.3,864.8,4632,4654,4787,7678,7704,7124,16143,16189,15308
2053,3058,3044,2507,788.1,800,889.4,4675,4698,4852,7700,7730,7117,16221,16272,15365
2054,3053,3038,2484,806.8,819.7,914.9,4720,4743,4917,7719,7753,7111,16299,16354,15426
2055,3048,3032,2461,826.2,840,940.2,4765,4789,4977,7736,7773,7101,16375,16434,15480
2056,3043,3025,2451,846.5,861.1,969.3,4810,4835,5051,7751,7790,7102,16451,16512,15573
2057,3039,3020,2438,867.6,883.3,998.6,4856,4880,5120,7765,7805,7102,16528,16588,15659
2058,3037,3015,2425,890,906.4,1028,4902,4925,5181,7778,7820,7099,16607,16666,15734
2059,3036,3012,2414,913.2,930.1,1059,4949,4971,5230,7790,7834,7097,16688,16746,15800
2060,3036,3008,2404,937.4,954.7,1090,4996,5017,5278,7802,7848,7096,16772,16828,15868
