BaseCase,RA,RA+SDG,Year,indicator
772.2,772.2,772.2,2020,Poverty_Headcount
753.6,753.6,753.6,2021,Poverty_Headcount
719.4,719.4,719.4,2022,Poverty_Headcount
716.2,716.2,716.2,2023,Poverty_Headcount
717.6,717.6,717.6,2024,Poverty_Headcount
716.5,716.5,701.3,2025,Poverty_Headcount
712,712,685.1,2026,Poverty_Headcount
704.9,705,668.9,2027,Poverty_Headcount
696,696.1,652.6,2028,Poverty_Headcount
685.9,685.4,635.7,2029,Poverty_Headcount
674.3,672.7,616.9,2030,Poverty_Headcount
662.6,659.3,597,2031,Poverty_Headcount
653.6,648.4,577.6,2032,Poverty_Headcount
646.6,639.4,559,2033,Poverty_Headcount
641,632.1,541.5,2034,Poverty_Headcount
635.8,626,524.8,2035,Poverty_Headcount
630.5,620.7,508.8,2036,Poverty_Headcount
625.4,615.6,493.6,2037,Poverty_Headcount
620.1,610,483.7,2038,Poverty_Headcount
614.3,603.7,473.7,2039,Poverty_Headcount
607.8,596.5,462.7,2040,Poverty_Headcount
600.5,588.1,450,2041,Poverty_Headcount
592.4,577.9,435.5,2042,Poverty_Headcount
582.9,566.5,420,2043,Poverty_Headcount
573,555.1,403.9,2044,Poverty_Headcount
562.8,543.6,388.1,2045,Poverty_Headcount
552.1,531.7,372.9,2046,Poverty_Headcount
541,520.2,358.4,2047,Poverty_Headcount
529.5,508,344.6,2048,Poverty_Headcount
518.1,495.9,330.3,2049,Poverty_Headcount
506.9,483.9,316.4,2050,Poverty_Headcount
495.2,471.8,302.4,2051,Poverty_Headcount
483.3,460.1,289.1,2052,Poverty_Headcount
471,448.6,276.4,2053,Poverty_Headcount
458.6,437,263.7,2054,Poverty_Headcount
446,425.7,251.1,2055,Poverty_Headcount
433.6,414.3,238.7,2056,Poverty_Headcount
421.2,402.8,226.5,2057,Poverty_Headcount
409,389.5,214.1,2058,Poverty_Headcount
395.9,374.5,201.1,2059,Poverty_Headcount
380.7,357.8,187.9,2060,Poverty_Headcount
